Form	ParlaMint (% of concordance)	siParl (%)	Trendi (%)	CLASSLA (%)	JANES (%)
naše  in  vaše	8.51	6.65	12.01	3.6	6.68
vaše  in  naše	5.06	3.22	3.99	2.03	3.2
naše  ,  vaše	2.64	2.02			
naši  ,  vaši	2.3	1.82			
vaši  in  naši	1.38				
naših  in  vaših		1.3		0.8	
Naša  prihodnost  bo  tudi  vaša			3.62		
"naše  ""  in  ""  vaše"			2.71		
vašo  plačo  z  našim			2.24		
Vaše  zadovoljstvo  je  naša				0.9	
Vaše  zadovoljstvo  je  naše				0.88	
vaša  vprašanja  in  naše					34.45
naši  in  vaši					2.2
naši  /  vaši					1.76
