	Corpus	Period covered	Corpus type	Tokens (M)	Query type	Hits	% of Corpus	H/MT	Word forms (freq., % of concordance lines)	UD POS tags patterns (freq., rel. freq, % of concordance lines)	Text types	Top 10 Collocations (lemma, -3, 3, highest LogDice score)	Comments/Observations/Examples	Unnamed: 13	Query	CQL	Pattern, example
0	ParlaMint-SI 5.1	2000 -2022	Parliamentary (plenary only)	81.6	Broad	2.955	0.0036	36.18	"Many unique forms (2,579 items, 2,955 total frequency), low frequencies. Most frequent form is “naše in vaše” (74, 2.5% of concordance lines), most forms (logically) appear only once (due to the broadness of the the query, multiple tokens between lemmas)
• naše in vaše (74, 0.91, 2.50%)
• vaše in naše (43, 0.53, 1.46%)
• naše, vaše (23, 0.28, 0.78%)
• naši, vaši (20, 0.24, 0.68%)
•  vaši in naši (12, 0.15, 0.41%)…"	"Given the broadness of the query it is understandable to have a large amount of POS patterns, with a limited amount of patterns with frequencies. Most common patterns: 
• DET CCONJ DET  (268, 3.28, 9.07%) – Example: Vaše in naše, vaših in naših, naši ali vaši…
• DET PUNCT DET (130, 1.59, 4.40%) – Example: naša, vaša…
• DET NOUN PUNCT DET (46, 0.56, 1.56%) – Example: vaše dileme, naše (želje); vaše stranke, našega (premierja) 
• DET NOUN CCONJ DET (38, 0.47, 1.29%) – Example: vaša vlada in naša (vlada), naše otroke oziroma vaše otroke,…
• …
• DET NOUN CCONJ ADP DET (9, 0.11, 0.30%) - vaših rodbin in za našo  (Slovenijo)"	"• Term: Concordance is most frequent in the 8th Term (665, 43.98, 121.58%), but it is most representative in Term 6 (465, 49.52, 136.87%). The raw and relative frequency decrease in the earlier Terms.
• Speaker_role: the concordance is (unsurprisingly) mostly present in speeches made by regular speakers, with only limited amount of instances within chairperson speeches (regular: 2,919, 38.93, 107.60%; chairperson: 36; 5.38, 14.87%). 
• Speaker_gender: The concordance is much more frequently used in speeches, produces by male speaker (2,204, 33.97, 93.90%), but it is more representative of speeches, made by female speakers (751, 44.69, 123.53%)
• Speaker_party: The concordance is most frequently present in speeches made by larger and more present parties (SDS: 847, 42.64, 117.88%; SD: 346, 36.10, 99.78%; NSI: 202, 32.31, 89.32%) and speakers without political party affiliation (guests, 286, 33.78, 90.66%). In terms of relative frequency the concordance is most representative in speeches, made by PS (154, 100.70, 290.21%), LMŠ (119, 61.80, 170.82%) and ZaAB (10, 61.72, 170.62%), which have low(er) raw frequencies, and are parties, that were present in the Parliament for a shorter period of time. "	delitev (division), deliti (divide), domovina (homeland), lev (left), desen (right), skupen (common/shared), rubrika (section), ločevanje (separation), zanamec (descendant), razlika (difference)	"Broad naš–vaš usage reflects Us vs. Them framing, often tied to political polarisation, either to reject division (""Delitev na vaše in naše , delitev na leve in desne... – to se ne bi smelo dogajati."" / ""The division between yours and ours, the division between left and right - this simply cannot, should not, happen"") or to attack the opposing side (""Ampak ti primeri niso iz našega mandata, so iz vašega mandata"" / ""But these examples are not from our mandate, they are from your mandate.""). Many cases do  not necessarily denote political polarisation context, but can be seen as a marker of political identities, e.g. (""naša dolžnost je""/ ""our duty is""; ""naši in vaši otroci"" / ""our and your children""...).This link to political polarisation is also evident in the most common collocations."		Broad	"([lemma=""naš""][]+[lemma=""vaš""])|([lemma=""vaš""][]+[lemma=""naš""])within<s/>"	naš[-i, -e, -ega...] [nam niso nikoli lagali, medtem ko ...] vaš[-i, -e, -ega...]
1					Semi-broad	438.0	0.00054	5.36 	"Same order and raw frequencies as from the broadest query, but of course represent much higher percentage of concordance lines. However, there are still many forms that only appear once, but the list is much more limited (115 items, 438 total frequency). 
• naše in vaše (74, 0.91, 16.89%)
• vaše in naše (44, 0.54, 10.05 %)
• naše, vaše (23, 0.28, 5.25%)
• naši, vaši (20, 0.24, 4.57 %)
• naših in vaših (12, 0.15, 2.74%)…"	"The list of POS tag patterns is substantially shorter compared to the broad query, making this query a bit more homogenous in terms of patterns that appear in the concordance lines.
• DET CCONJ DET  (271, 3.32, 61.87%) – Example: vaših in naših (otrok), (zapravljamo) vaš in naš (čas)
• DET PUNCT DET (133, 1.63, 30.37 %) – Example: Vaša, naša (vlada), (zakoni niso) vaši, naši
• DET NOUN DET (20, 0.24, 4.57%) -  Example: naši versus vaši, vašo podporo našemu (amandmaju)
• DET SCONJ DET (7, 0.09, 1.60%) – Example: (bolj) naš kot vaš, (tako) vašem kot našem (primeru)
• DET ADP DET (3 , 0.04, 0.68%) – Example: (med) našimi in vašimi, naši proti vašim, vaših v naših (vrstah) "	"• Term: Concordance is most frequent in the 5th Term (99, 7.37, 137.41%), but it is most representative of speeches in Term 6 (76, 8.09, 150.92%). In comparison with broadest query, both the raw and relative frequency in TT are significantly lower due to the limited scope of the query.  
• Speaker_role: The pattern from the broadest query persists, with the chairperson uttering only one speech that relates to the concordance (1, 0.15, 2.79%), while all other instances were made by regular speakers (437, 5.83, 108.68%).  
• Speaker_gender:  Contrary to trends identified in the broadest query, he concordance is not only more frequently used in speeches, produces by male speakers (357, 5.50, 102.62%), but it also slightly more representative of male than female speeches (81, 4.82, 89.89%).
• Speaker_party: The concordance is most frequently present in speeches made by larger and more present parties (SDS: 130, 6.55, 122.06%, SD: 79, 8.24, 153.70%; LDS: 31, 4.64, 86.58%). In terms of relative frequency in text type the concordance is most representative in speeches, made by PS (23, 15.04, 294.33%), ZaAB (2, 12.34, 230.22%) and LMŠ (18, 9.35, 174.32%), which have low(er) raw frequencies, and are parties, that were present in the Parliament for a shorter period of time. In comparison to the broad query, the party trends remain similar, with much lower raw and relative frequencies."	deliti (dividing), delitev (division), deljenje (dividing), ločevanje (separating), desen (right), spodnji (lower), lev (left), tajkun (tycoon), katerikoli (whichever), zgornji (upper)	"Concordances include various forms of naš[-i,-ih,-e,...][-, in, pa]vaš[-i, -ih,-e], with most instances explicitly invoking naši–vaši in a polarized political context. Others highlight shared responsibility (e.g., ""Slovensko visoko šolstvo je naša in vaša , pa tudi splošna javna odgovornost."" / ""Slovenian higher education is our responsibility and yours, as well as a general public responsibility""), or express contrast/distancing (e.g., "" Za razliko od vaših, so naši [dokumenti] javno objavljeni na spletni strani"" / ""Unlike yours, our [documents] are publicly available on our website""). The collocations refer mostly to different forms of (binary) division."		Semi-broad	"([lemma=""naš""][][lemma=""vaš""])|([lemma=""vaš""][][lemma=""naš""])within<s/>"	naš[-i, -e, -ega...] [in, pa, -, /, :] vaš[-i, -e, -ega...]
2					Specific	88.0	0.00011	1.08 	"Much more limited words forms, lower frequencies, which is understandable as this pattern only generates 88 hits. 
• naši , vaši (20, 0.24, 22.73%)
• vaši in naši (12, 0.15, 13.64%)
• naši in vaši (11, 0.13, 12.50%) 
• naši – vaši (10, 0.12, 11.36%)
• vaši , naši (8, 0.10, 9.09%)"	"UD POS Tag: The entire list of POS tag patterns consists of only 5 patterns, with the pattern, where lemmas are separated by punctuation being the most prominent (in over 50% of instances).
• DET PUNCT DET (50, 0.61, 56.82%) – Example: naši, vaši; vaši-naši …
• DET CCONJ DET  (34, 0.42, 38.64%) – Example: vaši in naši, naši ali vaši… 
• DET SCONJ DET  (2, 0.02, 2.27%) – Example: vaši kot naši
• DET ADV DET (1, 0.01, 1.14%)  - Example: vaši nikoli naši
• DET NOUN DET (1, 0.01, 1.14%) – Example: naši versus vaši"	"• Term: Concordance is most frequent in the 5th Term (29, 2.16, 200.35%), and is also most representative. Otherwise the trends from broader queries remain.
• Speaker_role: All concordance hits were produced by regular speakers (88, 1.17, 108.93%).  
• Speaker_gender:  Contrary to trends identified in the broadest query, he concordance is not only more frequently used in speeches, produces by male speakers (71, 1.09, 101.58%), but it also slightly more representative of male than female speeches (17, 1.01, 93.90%).
• Speaker_party: The concordance is most frequently present in speeches made by SDS (31, 1.56, 144.87%), SD (17, 1.77, 164.62%) and SLS (8, 2.43, 225.63%). In terms of relative frequency in text type the concordance is most representative in speeches, made by Zares (8, 4.12, 382.66%), PS (4,2.62, 254.78%) and SLS (8, 2.43, 225.63%). In comparison to the broader queries, the party trends remain similar, with much lower raw and relative frequencies."	"delitev (division), volivec (voter), kriterij (criterion), sploh (at all), obstajati (exist), otrok (child), "", :, ;, ampak (but)"	"Terms, almost explicitly relating to the polarising naši-vaši concept, expressing different binary divisions (e.g. ""Pa prenehajmo, za božjo voljo, s temi naši in vaši!""; In ne govoriti, če so naši ali vaši , jaz osebno, [...] ne delam razlik med črnimi, zelenimi, rdečimi, belimi, ne vem, našimi, vašimi, levimi, desnimi.""/""Let's stop, for God's sake, with these ours and yours!""; And let's not talk about whether they are ours or yours , I personally, [...] I don't distinguish between black, green, red, white, I don't know, ours, yours, left, right""). However, there are some notable instances (< 5), where the term relates to shared values (naši, vaši volilci, otroci...). Given the amount of punctuation identified in the collocations, we also filtered out the patterns where the words in question were separated by punctuation (50 hits, 56.82% of the specific query hit count), where the context is almost exclusively related to political polarisation."		Specific	"([word=""naši""][][word=""vaši""])|([word=""vaši""][][word=""naši""])within<s/>"	naši  [in, pa, -, /, :] vaši
3	siParl 4.0	1990 - 2022	Parliamentary (plenary + working bodies)	273	Broad	8.193	0.003	30.01 	"
Word forms: Due to the broad scope of the query, the word forms are highly diverse (7,253 items, 8,193 total frequency).
•	naše in vaše (127, 0.47, 1.55 %)
•	vaše in naše (61, 0.22, 0.74 %)
•	naše, vaše (39, 0.14, 0.48)
•	naši, vaši (35, 0.13, 0.43)
•	naših in vaših (25, 0.09, 0.31%)"	/	"•	Term: Concordance is most frequent in the 8th Term (1,839, 41.27, 137.53%), followed by Term 7 (1,514, 34.26, 114.17%), and is at the same time also most representative in terms of relative frequency in text type.  The raw and relative frequency decrease in the earlier Terms.
•	Speaker_role: the concordance is mostly present in speeches made by regular speakers, with only limited number of instances within chairperson speeches (regular: 7,533, 32.97, 109.87%; chairperson: 660; 14.82, 49.38%). 
•	Speaker_gender:  The concordance is much more frequently used in speeches, produces by male speaker (6,066, 27.85, 92.81%), but it is much more representative of speeches, made by female speakers (2,127, 38.53, 128.4%), which can also be seen in relative density. 
•	Speaker_party: In terms of raw frequency, the concordance is most frequent in speeches, made by guest speakers (i.e. speakers without political party affiliation), followed by SDS (1,858, 26.70, 88.98%). However, when checking relative fr. In TT and relative density, the concordance is most typical for speeches from PS (328, 86.06, 286.77%), LMŠ (285, 63.95, 213.12%) and Levica (365, 52.68, 175.55%). The differences in relative frequency and density between the higher-placing parties (which are also larger and more present parties) are relatively minimal, and are above 100% (signifying that concordance is quite typical for that specific text type/political party)."	deliti (to divide) delitev (division), domovina (homeland), skupen (common/shared), prizadevanje (effort), lev (left), državljanka (citizen), volivec (voter), desen (right), ceniti (to appreciate)	"The query covers very broad patterns, including the political division context. When reviewing the KWIC word forms, the most common KWIC form is ""naše in vaše"" with a frequency of 127 (or 1.55% of the original query result), with other forms of naš-vaš following (e.g. vaše in naše, naše, vaše), which is still relatively common given the broad KWIC pattern. The term usually refers to political division and is mostly used for direct or indirect attacks on the opposition (e.g., ""Vi pa tudi premislite ali se splača uničevati prihodnost vaših in naših otrok , kakorkoli želite"" / ""You should also think about whether it is worth destroying your and our children's future, however you want."")."		Punctuation	"([word=""naši""][ud_pos=""PUNCT""][word=""vaši""])|([word=""vaši""][ud_pos=""PUNCT""][word=""naši""])within<s/>"	naši  [,, -, /, :] vaši
4					Semi-broad	837.0	0.00031	3.07 	"Same order and raw frequencies as from the broadest query, but of course represent much higher percentage of concordance lines. However, there are still many forms that only appear once. 
•	naše in vaše (128, 0.47, 15.29%) 	
•	vaše in naše (62, 0.23, 7.41%) 	
•	naše , vaše (39, 0.14, 4.66%) 	
•	naši , vaši (35, 0.13, 4.18%) 	
•	naših in vaših (25, 0.09, 2.99%)"	/	"•	Term: Contrary to broad query, the concordance is most frequent in the 6th Term (129, 4.94, 161.14%), followed by Term 8 (209, 4.69, 153.00%). The concordance is (according to relative density) typical for speeches in in Term 6 (2011-12-16 - 2014-07-31), Term 8 (2018-06-22 - 2022-05-12), Term 5 (2008-10-15 - 2011-12-15) and Term 7 (2014-08-01 - 2018-06-21). 
•	Speaker_role: the concordance is (unsurprisingly) mostly present in speeches made by regular speakers, with only limited number of instances within chairperson speeches (regular: 810, 3.55, 115.64 %; chairperson: 27, 0.61, 19.77%). 
•	Speaker_gender:  The concordance is much more frequently used in speeches, produced by male speaker (663, 3.04, 99.29%), but slightly more representative of speeches, made by female speakers (174, 3.15, 102.82%). 
•	Speaker_party: In terms of raw frequency, the concordance is most frequent in speeches by SDS (1 21, 4.37, 142.54%), followed by speeches made by SD (121, 5.95, 193.99%). However, when checking relative fr. In TT and relative density, the concordance is most typical for speeches with very low raw frequencies: PS (42, 11.02, 359.44%), LMŠ (30, 6.73, 219.59%) and SD (121, 5.95, 193.99%). "	deliti (divide), deljenje (dividing), delitev (devision),  ločevanje (splitting), desen (right),  lev (left), desno (right),  katerekoli (whichever), tvoji (yours)	A brief manual check of the hits revealed that the context of most terms refers to the clear naši-vaši polarisation, which was further suggested by a collocation check. Furthermore, the hit distribution trends show that this term (and its forms) was sparsely used in the years 1990 - 2000 (which was verified by an additional concordance check with a period filter covering only 1990 - 1990) with only 57 hits, where the context was not so much focused on the political divide, but rather neutral/non-political uses of the words.				
5					Specific	160.0	5.9e-05	0.59	"Lower number of unique word forms (which makes sense with the specific query and no. of hits).
•	naši , vaši (36, 0.13, 22.50%) 	
•	naši in vaši (24, 0.09, 15.00%) 	
•	vaši , naši (21, 0.08, 13.13%)	
•	vaši in naši (20, 0.07, 12.50%) 	
•	naši – vaši (18, 0.07, 11.25%) 	"	/	"•	Term: The concordance is most frequent in Term 5 (38, 1.16, 197.79%), which is closely followed by Term 8 (35, 0.79, 134.04%), at least in terms of raw frequencies. In terms of relative frequency in TT and relative density, the concordance is most representative (or typical) for speeches in Term 5, followed by Term 6 (25, 0.96, 163.37%) and then Term 8. Additionally, it is also typical for Term 7 (28, 0.63, 108.12%), while for all other Terms, this concordance is not typical. 
•	Speaker_role: The chairperson uttered only one speech with this concordance (1, 0.02, 3.83%), whereas all others were uttered by regular speakers, making the concordance relatively typical for the regular speaker speeches (159, 0.70, 118.75%). 
•	Speaker_gender: In its very specific form, the concordance is more frequent as well as more typical for male speakers (128, 0.59, 100.28%) than female speakers (32, 0.58, 98.92%).
•	Speaker_party: In terms of raw frequencies, the concordance most often appears in speeches, made by SDS (51, 1.02, 174.45%), followed by SD (25, 1.23, 209.67%). In terms of relative frequency in TT and relative density, the concordance is typical for parties with very limited no. of speeches, Zares (10, 2.49, 425.37%), PS (8, 2.10, 358.16%) and  ZELENI (1, 1.89, 322.29%). "	 delitev (division),  oni (them), volivec (voter), deliti (dividing), kriv (guilty), nenazadnje (nontheless), kriterij (criterion), obstajati (existing), otrok (child), sploh (even)	Although explicit references to the term are relatively rare overall, one particular pattern stands out (naši/vaši separated by punctuation. This pattern, identified through a collocation analysis (in which punctuation ranked), strongly and exclusively points to the polarising concept in question (90 hits, 56.25% of specific query results).				
6	Trendi	2019 - 2025	Web	1,153,68	Broad	7.516	0.00065	6.51	"Unique items: 4,143; total frequency: 7.516.Given the broad scope of the query, it is somewhat surprising that explicit phrases appear among the five most frequent word forms. This can be explained by the large number of sources that contain taglines, disclaimers, or other kinds of repetitive text. In addition, the list of word forms is highly diverse.
•	naše in vaše (316, 0.27, 4.20%) 	
•	vaše in naše (109, 0.09, 1.45%) 	
•	Naša prihodnost bo tudi vaša 	(108, 0.09, 1.44%) 	
•	naše "" in "" vaše 	(73, 0.06, 0.97%)	
•	vašo plačo z našim (67, 0.06, 0.89%) 	"	/	•Topic/genre: The concordance is most common in the text within the “Prosti čas” (Leisure, 1,885, 9.930, 152.42%) genre, followed by “Science” category (1,212, 12.31, 187.65%). However, looking at relative fr. In TT and relative density, the concordance seems to be most typical of the Education category (601, 17.92, 275.81%), however, it is important to highlight, that there is a lot of repeating texts that inflate these calculations. 	kalkulator (calculator), delitev (division), navigacija (navigation), hvala (thank you), izračunati (calculate), obsotelj (Obsotelj), zasebnost (privacy), pretvoriti (to convert), analizirati (to analyse), mladost (youth)	"Most texts with identifiable patterns fall under the ""Leisure"" category, in which terms related to audience engagement (e.g. naši/vaši bralci, Naša ekipa pride na vašo lokacijo...) or advertising language (e.g. Naši strokovnjaki bodo poskrbeli za vaša vprašanja...) appear. Some texts also touch on division, typically political. The texts in the ""Education"" category are more representative in terms of relative frequency. Surprisingly, ""Politics"" is less present, and where it does appear, the contexts vary. This is also reflected in the collocations — only one politically charged lemma ranks highly, while others refer to non-political contexts. One explanation lies in the bias of the data: repetitive articles on different websites (often with different category tags) and frequent concordance repetitions, such as adverts within articles (e.g. ""Izračunajte si vašo plačo z našim kalkulatorjem""/""Calculate your salary with our calculator"") or recurring website taglines (""Naša prihodnost bo tudi vaša""/""Our future will be yours too""  asking readers to donate) and privacy notices  (e.g. ""Poleg tega analiziramo informacije o vaši uporabi našega spletnega mesta"" / ""In addition, we analyse information about your use of our website"" ), inflate certain concordances and categories."				
7					Semi-broad	1.314	0.00011	1.14	"Unique items: 181; total frequency: 1,314.Word forms: Much more limited list of different forms, though there are still very explicit references to different taglines/disclaimer/repeating part of the texts (such as the third most common form “vaši uporabi našega”), which relate to disclamer about data processing from the source webpage (""analiziramo informacije o vaši uporabi našega spletnega mesta"")
•	naše in vaše (315, 0.28, 24.06%) 	
•	vaše in naše (109, 0.10, 8.33%)
•	vaši uporabi našega (67, 0.06, 5.12%) 	
•	naših in vaših	(52, 0.05, 3.97%) 	
•	naši – vaši (49, 	0.04, 3.74%) 	"	/	"•	Topic/genre: The concordance is still (like in the broad query) most common in the text within the Leisure (301, 1.58, 138.56%) genre, followed by “Science” category (237, 2.37, 208.17%), a category, in which the concordance seems to be most typical. Following, the concordance is also typical for categories “Culture” (174, 2.06, 180.79%), “Education” (52, 1.53, 134.71%), Society (23, 1.52, 132.79%) and “Politics” (156, 1.25, 108.67%)."	cockta (Cockta), delitev (division), priviligiranje (to privilege), analizirati (to analyse), nerazščiščen (unresolved), mladost (youth), zorganizirati (to organise), logo (logo), razlikovanje (differentiation), kocbek (Kocbek)	"Many of the observations, especially the concerns about the repetition of cross-posted articles and segments, also apply to the semi-broad pattern. However, as the pattern narrows to a one-token distance between words, the contexts become more concentrated. A prominent example is the phrase ""Pijača vaše in naše mladosti"" (""The drink of your and our youth""), which reflects both advertising language and nostalgic, collective memory. The  frequent collocation is the lemma delitev (division), which is directly tied to the context of political polarisation (naši–vaši)."				
8					Specific	167.0	1.4e-05	0.14	"Unique items: 17; total frequency: 167. Much more limited list, though still containing somewhat diverse forms). 
•	naši – vaši (49, 0.04, 29.34%) 	
•	naši in vaši (39, 0.03, 23.35%) 	
•	vaši in naši (18, 0.02, 10.78%) 	
•	naši ali vaši (17, 0.01, 10.18%) 	
•	naši kot vaši (14, 0.01, 8.38%) 	"	"Patterns that we can see from hits: 
•DET CCONJ DET
•DET PUNCT DET
•DET SCONJ DET"	"•	Topic/genre: The concordance is most common in the text within the Culture (39, 0.46, 318.84%), followed by Science topic (38, 0.38, 262.63%). "	nepotizem (nepotism), kocbek (Kocbek), vsiljevanje (to impose), princip (principle), prekrasen (beautiful), dobršen (considerable), delitev (division), kadrovanje (staffing), logika (logic), tarča (target)	"The majority of hits in this specific query refer to political polarisation and various forms of binary divisions (e.g., ""Cepilci, anticepilci, komunisti, protestniki, begunci, politiki, kulturniki, geji, uradniki, naši, vaši , njihovi; vsi s(m)o zločinci!""/ ""Waxers, anti-waxers, communists, protesters, refugees, politicians, culturists, gays, officials, ours, yours, theirs; they/we are all criminals!"" ). The repetition of hits (due to cross-posted articles) is also present here, but much more limited. Manual check of all instances, where the words ""naši"" and ""vaši"" are separated (73 hits, 43.98% of specific query hit count) with a punctuation revealed that this form refers exclusively to political (and other binary) divisions. Examples:  ""Ni lepše upodobljene delitve na vaši : naši"" (""There is no more clearly portrayed division between 'yours' and 'ours'.""), ""...popredalčkanih razredov: naši-vaši , janšisti, fašisti in tako dalje"" (""..of neatly labeled groups: us vs. them, Janšists, fascists, and the like"")"				
9	CLASSLA-Web.sl	2021 - 2022	Web	2153.3	Broad	72.591	0.00337	33.71	"Very diverse word forms, with the most frequent forms not exceeding 1% of the overall concordance lines. Additionally, the form “vašega obiska v naši” reflects repetitive text and is the only instance of several. (e.g. (“vašega leasinga , kredita in takojšen odkup . brezplačna cenitev vašega vozila ; menjava staro za novo ; gotovinski odkup rabljenih vozil ; Izpolnite naš”, 87, 0.04, 0.12)
• naše in vaše (717, 0.33, 0.99%)  
• vaše in naše (460, 0.21, 0.63%) 
• naših in vaših  (163, 0.08, 0.22%) 
• vašega obiska v naši  (143, 0.07, 0.20%)  
• naši in vaši (142, 0.07, 0.20%) "	"Given the trends indicated in word forms, it is not surprising that similar trends can be detected within UD POS tag patterns (low % of concordance lines for most frequent patterns, almost 50.000 unique patterns)
• DET CCONJ DET  (3,001, 1.39, 4.13%) – Example: vaše in naše (varnosti); naš in vaš RockOnNet…
• DET NOUN ADP DET (2,074, 0.96, 2.86%) – Example:  vašo zasebnost pri naši uporabi piškotkov; vaše ideje z našim (znanjem)…
• DET NOUN DET (905, 0.42, 1.25%) – Example: vaš obisk naše (spletne strani); ""luna vaša zlata naša""
• DET PUNCT DET (741, 0.34, 1.02%) – Example: naš, vaš; naši - vaši
• DET NOUN AUX DET (725, 0.34, 1.00%)   - Example: Naš cilj je vaš uspeh; vašo pomočjo bodo naše (aktivnosti)..."	"Topic/genre: The concordance appears most frequent in Promotion category (and is also most typical/representative, according to relative frequency and density). Following this, the concordance is also typical for the following categories: 
• Mix (4,988, 44.00, 130.51%) 
• Instruction (4,001, 41.78, 123.94%) 
• Other (4,193, 40.56, 120.30%)  
• Legal (5,876, 34.05, 101.00 %)"	želja (wish), spleten (online), zadovoljstvo (contentment), brskalnik (browser), piškotek (cookie), poslovalnica (office), potreba (need), zasebnost (privacy), dom (home), obdelovati (to process)	"Most of the texts containing the queried expression belong to the ""Promotion"" domain, often use direct address and persuasive language (""Naši strokovnjaki vam bodo z veseljem pomagali, vam svetovali in odgovorili na vaša vprašanja.""/""Our experts will gladly assist you, offer advice, and answer your questions.""). Other relevant domains include ""Legal"", where formal wording is used to communicate obligations or rights (e.g. in relation to service notices), and ""Opinion/Argumentation"", where there are some parts that also refer to the polarising concept of vaš-naš (""To je naše mnenje o predlaganih ukrepih - kakšno je pa vaše?/""This is our opinion on the proposed measures – and what is yours?""). This subdivision is conceptually present, but not dominant in frequency: vaš-naš and related lemmas do not appear among the top ten collocations."				
