method name: freqs			
corpus: janes			
subcorpus: -			
concordance size: 2499			
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"			
group.type	Frequency	Relative density	Relative in text types
tweet	1091	72.89957	7.20336
forum	946	203.40817	20.09919
blog	266	77.95055	7.70246
news	187	127.54221	12.60271
wiki	9	18.18705	1.7971
group.platform	Frequency	Relative density	Relative in text types
twitter	1091	72.89957	7.20336
medovernet	906	664.45228	65.65593
rtvslo	340	95.76151	9.4624
publishwall	68	63.47069	6.27167
mladina	41	184.12472	18.19375
avtomobilizem	23	9.082	0.89741
kvarkadabra	17	22.52444	2.22569
usertalk	7	20.45819	2.02152
reporter	4	117.37668	11.59824
pagetalk	2	13.09788	1.29423
group.title	Frequency	Relative density	Relative in text types
 -	1091	72.89809	7.20321
Zdravstvene posvetovalnice Manualna terapija, kiropraksa,…	863	26689.03895	2637.20011
Vprašanja &amp; odgovori O zgodovini časa, vesolju in sploh v…	8	30.96549	3.05976
Prismrad preteklosti	6	21873.66918	2161.38329
Radikalizacija muslimanov: nerazumljiva novost, fikcija ali…	6	4724.29049	466.81709
Vprašanja &amp; odgovori Dosjeji X	6	77.2516	7.63339
Zdravstvene posvetovalnice Ginekologija in porodništvo …	5	37.31052	3.68673
Peklenske muke	4	9761.4831	964.55269
Zapis na spletni strani SDS-a: Janković na oblast s strašen…	4	461.55189	45.60691
Avstrija bo gospodarsko rast spodbujala z nižanjem davka na…	4	4356.52932	430.47783
Eksplozija pred hišo nekdanje državne tožilke	4	16860.00434	1665.97251
Brščič po novem svetuje Elesu	4	12471.00136	1232.28589
&#34;Vlada nam mafija&#34;	4	1177.07745	116.3095
Starševstvo in medsebojni odnosi Ko starši žalujejo	4	290.62712	28.71748
Starševstvo in medsebojni odnosi Vrtci in varstvo otrok	4	564.76792	55.80591
A.com Splošna debata	4	10.67367	1.05469
Obesil bom žalno...	3	3424.00505	338.33315
Intervju z Basharjem	3	16980.23088	1677.85235
REQUIEM ZA KNJIGO	3	10940.77579	1081.08108
Bel hudič	3	10552.88593	1042.75287
Pismo indijanskega poglavarja Seattle-a leta 1854	3	32857.84937	3246.75325
SREČEN VAM 1. MAJ »PRAŠIČKI«	3	54802.62242	5415.16245
Vroč boj za prestol v prestolnici	3	2767.10288	273.42326
Slovenski in svetovni politični hlev na dan 3.6.15	3	30330.3225	2997.003
Slovenska kultura odraža tranzicijsko korupcijo	3	3274.44487	323.55479
Quod licet Iovi, non licet bovi*	3	122421.98718	12096.77419
A.com Galerija	3	11.39993	1.12645
ODPRTO PISMO G. ROUGIERJU in njemu podobnim	3	1273.73103	125.86004
Starševstvo in medsebojni odnosi Starši in otroci	3	103.52317	10.22934
A.com Obvestila in predlogi	2	52.94981	5.23208
Koprive	2	6539.72059	646.20355
STISKA	2	6358.91775	628.33805
A.com Kupovanje avtomobilov	2	9.30444	0.91939
A.com Pravni nasveti	2	17.2976	1.70921
Janša in Matoz zavajala z &#34;očitno ponarejenim&#34; dokumentom?	2	801.69665	79.21733
IZPOVED NEKDANJEGA UDBAŠA	2	4846.84751	478.9272
MURA	2	7086.98712	700.28011
PETICIJA - ZA PIVŠKO KOTLINO BREZ STRELJANJA!	2	27278.21457	2695.41779
Le kam nas pelje usoda ...	2	16089.37616	1589.82512
Odprto pismo ministru za okolje in prostor	2	13920.5194	1375.51582
PISMO SINDIKATA DUŠANU SEMOLIČU - ZSSS	2	8971.82412	886.52482
Slavoj Žižek o Siriji	2	6417.38593	634.11541
&#34;Slovenija je dovolj majhna in bogata, da bi lahko ubrala s…	2	842.15841	83.21544
Pravica do groba	2	2779.89771	274.68754
Zdravstvene posvetovalnice Genetika Genetska posvetoval…	2	443.65515	43.8385
Juncker za slovensko komisarko izbral Alenko Bratušek	2	1087.6107	107.4691
Ko otrok rajši kot igračo pograbi liter mleka	2	1555.64024	153.71609
pomanjakanje humorja in razumevanja	2	95926.23324	9478.67299
Video: Janši vročili sodbo, konec pravde SDS-a proti Dejanu…	2	1006.88664	99.49259
Vse o svetu	2	2012.37177	198.84669
Hrvati niso vzdržali danskega pritiska	2	1284.21009	126.8955
Gnev. Zbudite se ljudje!	2	10395.70376	1027.22137
ZAKAJ SO V TRSTU PROTESTIRALI – Proti plinskim terminalom	2	1721.71106	170.12589
UO Prešernovega sklada stoji za svojo odločitvijo o Možini,…	2	2248.93725	222.22222
Tudi vrhovna sodnica Zobčeva ni izločena iz zadeve Patria	2	10823.76215	1069.51872
Napačno dojemanje Rusije	2	8444.06976	834.3763
Kandidati za ministre: Veber, Židan, Kopač Mrakova, Kolarje…	2	4772.56195	471.58689
ASTROLOŠKA ZAKONSKA POSVETOVALNICA	2	8646.06374	854.33575
&#34;Če bi hoteli biti pravični, bi morali izvesti neko drugo l…	2	706.59575	69.82021
Video: Ministrica naj bi odšla v sredo. Razlog: moževo podj…	2	6262.5109	618.81188
Shod v podporo Majniški deklaraciji. Pa tudi Janši in volit…	2	365.85271	36.15068
Patria na Finskem: Obtoženi oproščeni, pri očitkih ostaja &#34;…	2	282.03377	27.86835
Janša v zaporu. &#34;Pred 25 leti smo se osamosvojili, ne tudi …	2	466.07952	46.0543
Šivala je Svetlana zvezdo	2	8877.38387	877.19298
Stožice po 5. mestu rajale, kot bi bila medalja	2	1279.74426	126.45422
Marcel Štefančič jr.: Politiki so zadnji, ki bi lahko določ…	2	1906.9564	188.43037
A.com Srečanja	2	18.88296	1.86586
STRESNI TESTI.SI	2	4439.66554	438.6927
Ustavimo janšizem danes!	2	23105.51965	2283.10502
BOG IN VSI SVETI, POMAGAJTE SLOVENSKEMU NARODU	2	3604.0661	356.12536
Namesto domoljubja, uničevanje narodne zavesti!	2	6454.22041	637.7551
Zdravstvene posvetovalnice Psihiatrija in terapevtska pom…	2	82.71024	8.17277
Starševstvo in medsebojni odnosi Starši, učitelji in učen…	2	116.34774	11.49657
Ostalo Nima veze z avtomobilizmom	2	19.31665	1.90872
Firma	1	12120.02109	1197.60479
Kdo se boji Josipa Broza?	1	7778.79908	768.63951
BOSANSKI HAIKU TER PERCEPCIJA ADMINISTRATORJA PORTALA RTV	1	10010.10644	989.11968
Video: Cena vinjete bo odvisna od višine vašega avtomobila	1	638.09695	63.0517
Koncert ob 100-letnici	1	10952.61646	1082.25108
Žiga Turk o Cerarjevem izobčenju SDS	1	9353.25102	924.21442
Recept	1	3682.7575	363.90102
Legitimnost nove evropske pogodbe	1	2976.53459	294.11765
KAJ JE ŠE TREBA NAPRAVITI ZA RAZVOJNI PREBOJ OBČINE LENART?	1	4995.17157	493.58342
O etičnosti malce drugače ...	1	3965.60251	391.84953
OBLAST IN PREVARE!	1	9787.44449	967.11799
Danes, bom porabil €86400s, nič, nula, zero.	1	17723.67357	1751.31349
Naš Tito in Fidel Castro	1	6096.51663	602.40964
Na svidenje	1	44978.74492	4444.44444
Normalizacija kvizlingov?	1	2394.18444	236.5744
Participativni proračun - ko vzamemo demokracijo zares	1	1732.61729	171.20356
Dom, tehnika in prosti čas Slovenci po svetu	1	43.74211	4.32225
SAMO EN PAR VAS SE ZIVI	1	7981.24417	788.64353
ABC Med.Over.Net Zdravstvo pri nas?	1	82.64506	8.16633
Je suis ...	1	2380.10762	235.18344
UPOKOJENCI IN INVALIDI SMO VSI ALI BOMO NEKOČ VSI!	1	2064.92912	204.03999
Maska	1	18501.3119	1828.15356
Silvestrovanje in otroci	1	7072.1297	698.81202
Nikoli ne storimo drugemu tisto, kar ne želimo sebi ...	1	9656.69619	954.19847
Nova vlada in nove krize	1	6038.31599	596.65871
ROPANJE UMIRAJOČIH STAROSTNIKOV PO DOMOVIH	1	1503.74704	148.58841
MOČ JE SLADKA	1	10337.30093	1021.45046
NAROD SE JE ZAŽELEL JANŠE, VENDAR PREPOZNO!	1	1621.56988	160.23073
Zimski žar	1	67468.11738	6666.66667
Biti inu obstati ali ...	1	1170.23793	115.63367
OZRI SE V SVOJEM BESU, IZDAJALEC!	1	4485.91206	443.26241
postajam stari morski volk	1	11539.58678	1140.25086
ZASTRAŠUJOČA PRIHODNOST EVROPE!	1	1055.61882	104.30792
15. zadnje poglavje romana: POGLED SKOZI OKNO	1	6231.66109	615.76355
Čestitke Ukrajincem	1	3174.47227	313.67629
Share International	1	1662.86849	164.31153
Novoletna poslanica	1	16428.92469	1623.37662
Starševstvo in medsebojni odnosi Starševski čvek	1	100.02093	9.88328
Namišljeni politiki in namišljena politika cinizem in slove…	1	16296.64671	1610.30596
V ustavi ni naših in vaših	1	84335.14673	8333.33333
Sedaj je pravi čas, da začnete razmišljati o nakupu bazena	1	45382.14174	4484.30493
Prenaseljenost – kdo od nas je preveč?	1	3054.69895	301.84123
Konec ali začetek pravne države	1	9117.31316	900.9009
Janša si zaporniško sobo deli še z dvema obsojencema in tvi…	1	349.97467	34.58173
GREMO PO VRSTI, KAKO REŠITI DRŽAVO PRED...	1	3956.30086	390.93041
Zakaj Cerkvi NE - hrvaški protest v Piranskem zalivu	1	8038.29834	794.28118
Biti Elza. Danes. Leta 2014.	1	3505.44427	346.38033
»Vklopi razum, spodi politike, ki žrejo na tvoj račun«	1	8302.06531	820.34454
Patetika postafriškega slavljenja	1	1747.57686	172.68175
A ti me-me- mene,ja pa za-za-zajebavaš?	1	4098.91357	405.02228
JUTRO POD LIPO	1	6567.30539	648.92927
Merkur Naklo – vzorčen primer dovoljenega izživljanja nad d…	1	2891.49074	285.71429
Je vaš ljubljenček že zaščiten proti zunanjim parazitom?	1	177547.67732	17543.85965
Verniki potencialni morilci?	1	913.29461	90.24456
Grenak priokus osamosvojitve	1	2077.64681	205.29665
Vam, ženskam, mamam ... in mamam po srcu	1	26562.25094	2624.67192
