method name: collx					
corpus: janes					
subcorpus: -					
concordance size: 2499					
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"					
Collocate	Freq	Coll. freq.	T-score	MI	logDice
natisnjen	861	1405	29.34233	15.9204	12.81913
prinesti	864	29976	29.3838	11.51025	9.76785
forum	865	36178	29.39873	11.24061	9.51737
preko	863	39031	29.36373	11.12776	9.41135
odgovor	866	76175	29.4023	10.16807	8.49462
delitev	75	5499	8.65398	10.43075	8.2634
mladost	39	5587	6.23616	9.46442	7.30419
deliti	87	24650	9.30127	8.48052	6.71433
razdeljen	10	1793	3.15668	9.14065	6.25449
ići	5	49	2.23585	13.3341	6.00678
blagosloviti	6	592	2.4471	10.00239	5.9911
dobrobit	7	1395	2.64054	8.98819	5.88032
neće	5	433	2.23415	10.19059	5.80426
elektorat	4	17	1.99992	14.53942	5.70308
prizadevanje	7	2011	2.63824	8.46054	5.66844
stiska	12	5300	3.44898	7.84007	5.65589
hotenje	4	461	1.99772	9.77826	5.46862
domačija	5	1272	2.23045	8.63593	5.4412
razdeliti	9	4383	2.98556	7.6991	5.42131
všeček	4	894	1.99558	8.82275	5.27165
