method name: freqs			
corpus: parlamint51_si			
subcorpus: -			
concordance size: 869			
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"			
speech.subcorpus	Frequency	Relative density	Relative in text types
Referenčni	732	95.82904	10.19491
COVID	133	133.83529	14.23825
COVID,Vojna	4	69.39813	7.38302
Parliamentary body	Frequency	Relative density	Relative in text types
Spodnji dom	869	100	10.63864
speech.date	Frequency	Relative density	Relative in text types
2008-11-07	16	2945.80611	313.39366
2021-03-04	9	1119.35234	119.08385
2013-11-11	8	1005.42294	106.96331
2008-12-16	7	1593.63238	169.54079
2009-05-25	7	884.91552	94.14296
2020-11-19	6	578.50235	61.54477
2020-03-03	6	921.43373	98.028
2012-10-23	6	652.42463	69.4091
2009-04-01	6	476.15111	50.656
2013-05-21	5	644.21212	68.5354
2020-11-18	5	561.34363	59.71932
2020-07-10	5	1137.15208	120.9775
2013-07-10	5	531.41072	56.53487
2021-02-15	5	509.20383	54.17235
2008-11-11	5	1143.07071	121.60716
2009-03-31	5	778.71384	82.84455
2004-06-16	5	718.68637	76.45844
2004-05-31	5	366.81753	39.02439
2010-03-25	4	396.09368	42.13897
2014-09-18	4	482.66083	51.34854
2013-11-20	4	312.43287	33.2386
2017-03-22	4	438.40346	46.64016
2017-07-12	4	541.10666	57.56638
2017-05-25	4	352.15747	37.46476
2013-10-01	4	709.79963	75.51302
2021-07-08	4	347.73132	36.99388
2010-11-02	4	740.74621	78.80531
2007-11-27	4	265.50572	28.24619
2021-03-25	4	390.68555	41.56362
2003-01-30	4	667.61597	71.02525
2012-06-15	4	438.17866	46.61624
2012-01-28	4	497.68748	52.94717
2011-09-02	4	700.93392	74.56983
2010-01-20	4	416.52409	44.31249
2009-10-21	4	440.66426	46.88068
2009-09-08	4	572.72459	60.9301
2009-05-22	4	353.23935	37.57986
2008-02-05	4	334.0868	35.54229
2007-11-28	4	212.63401	22.62136
2007-10-23	4	559.66414	59.54064
2013-02-27	3	343.33456	36.52612
2013-03-05	3	461.13123	49.05808
2019-12-19	3	237.73435	25.2917
2013-12-11	3	590.48281	62.81933
2013-06-17	3	476.19131	50.66027
2013-11-14	3	222.13284	23.63191
2014-01-29	3	236.45852	25.15597
2020-11-25	3	332.30141	35.35235
2012-05-10	3	278.22931	29.59981
2020-05-25	3	338.30933	35.99151
2015-03-13	3	472.05412	50.22013
2014-12-16	3	422.61034	44.95999
2012-09-28	3	391.53449	41.65394
2016-11-07	3	306.67526	32.62607
2017-07-04	3	684.4275	72.81377
2013-01-29	3	803.89695	85.52369
2020-10-27	3	321.28035	34.17985
2012-12-18	3	261.48287	27.81822
2016-11-23	3	219.65506	23.36831
2009-09-24	3	287.42327	30.57792
2021-12-20	3	205.13656	21.82374
2016-03-03	3	293.62131	31.23731
2021-05-28	3	569.85141	60.62443
2015-05-19	3	314.91537	33.50271
2021-02-02	3	331.7736	35.29619
2017-12-11	3	674.37755	71.74459
2011-03-30	3	519.66492	55.28527
2021-12-17	3	244.47399	26.0087
2016-09-22	3	342.59209	36.44713
2020-06-11	3	228.89063	24.35085
2021-07-06	3	301.69465	32.0962
2020-06-17	3	315.36265	33.55029
2006-07-11	3	297.37414	31.63656
2004-04-06	3	391.88273	41.69099
2020-09-22	3	282.05302	30.0066
2012-11-23	3	495.71243	52.73705
2009-06-19	3	458.87259	48.8178
2011-05-03	3	652.81733	69.45088
2009-09-22	3	341.56711	36.33809
2006-09-26	3	342.10995	36.39584
2008-11-21	3	400.00422	42.555
2007-10-01	3	458.77554	48.80747
