method name: freqml			
corpus: parlamint51_si			
subcorpus: -			
concordance size: 869			
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"			
word	Frequency	Freq. per million	% of concordance
naše  in  vaše	74	0.90594	8.51554
vaše  in  naše	44	0.53867	5.06329
naše  ,  vaše	23	0.28158	2.64672
naši  ,  vaši	20	0.24485	2.3015
vaši  in  naši	12	0.14691	1.3809
naših  in  vaših	12	0.14691	1.3809
vaše  ,  naše	11	0.13467	1.26582
naši  in  vaši	11	0.13467	1.26582
vaš  in  naš	10	0.12242	1.15075
naše  ali  vaše	10	0.12242	1.15075
naši  -  vaši	10	0.12242	1.15075
"naše  ""  in  ""  vaše"	10	0.12242	1.15075
vaši  ,  naši	8	0.09794	0.9206
vaših  in  naših	8	0.09794	0.9206
naša  ,  vaša	8	0.09794	0.9206
vaša  ,  naša	6	0.07345	0.69045
vaši  -  naši	6	0.07345	0.69045
naši  ali  vaši	5	0.06121	0.57537
vaš  problem  ,  ne  naš	5	0.06121	0.57537
vaši  ali  naši	5	0.06121	0.57537
