method name: collx					
corpus: parlamint51_si					
subcorpus: -					
concordance size: 869					
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"					
Collocate	Freq	Coll. freq.	T-score	MI	logDice
deliti	63	5275	7.93018	10.13265	8.39232
delitev	48	4606	6.92113	9.93599	8.16632
deljenje	6	123	2.44896	12.16277	7.63077
desen	21	3321	4.57487	9.21524	7.35958
lev	23	4073	4.7868	9.05201	7.25268
ločevanje	5	258	2.23484	10.83103	7.18366
spodnji	9	1982	2.99297	8.73751	6.69267
zgornji	8	1784	2.82172	8.71943	6.62659
nevladnik	3	251	1.73051	10.13375	6.45568
krasti	3	672	1.72792	8.71297	5.99531
tvoj	3	715	1.72766	8.62349	5.95561
mišljenje	3	802	1.72712	8.45783	5.87847
katerikoli	8	4001	2.81338	7.55418	5.75029
razlika	24	15347	4.86565	7.19962	5.59983
pristajati	3	1322	1.72393	7.73678	5.48759
tajkun	3	1327	1.7239	7.73134	5.4843
premier	4	2349	1.9875	7.3225	5.34805
izbirati	3	1594	1.72226	7.46685	5.31876
važen	3	1757	1.72126	7.32639	5.22631
skupen	21	17886	4.54105	6.7861	5.19733
