method name: freqs			
corpus: trendi			
subcorpus: -			
concordance size: 2980			
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"			
text.topic	Frequency	Relative density	Relative in text types
Prosti čas	662	135.84214	3.15448
Znanost	469	172.52624	4.00635
Politika	454	151.15088	3.50998
Kultura	316	160.12459	3.71836
Gospodarstvo	243	69.48814	1.61363
Šport	211	40.2336	0.93429
Izobraževanje	183	211.91381	4.92099
Zabava	152	91.53394	2.12557
Okolje	128	56.72921	1.31735
Družba	69	152.56832	3.54289
Zdravje	61	35.27973	0.81925
Črna kronika	32	23.02058	0.53458
text.source	Frequency	Relative density	Relative in text types
rtvslo.si	258	82.00138	1.90421
sta.si	205	40.50192	0.94052
siol.net	171	79.80096	1.85311
demokracija.si	149	193.2743	4.48815
dnevnik.si	140	100.45684	2.33278
delo.si	134	80.73511	1.8748
vecer.com	132	116.7033	2.71005
si.aleteia.org	121	906.77539	21.05685
slovenskenovice.si	120	129.13036	2.99862
nova24tv.si	116	167.62829	3.89261
casnik.si	113	487.14375	11.3123
ekipa.svet24.si	107	178.5759	4.14683
vestnik.si	97	129.91004	3.01673
data.si	87	1786.69394	41.49004
mladina.si	78	194.77936	4.5231
novice.svet24.si	71	88.15306	2.04706
domovina.je	70	237.79634	5.52203
gorenjskiglas.si	68	54.49698	1.26551
n1info.si	67	87.16653	2.02415
zurnal24.si	65	56.72707	1.3173
molitev.si	63	12526.87057	290.89499
24ur.com	57	59.55316	1.38292
reporter.si	45	125.81804	2.92171
necenzurirano.si	37	85.79986	1.99242
primorske.si	37	111.63768	2.59241
lokalec.si	35	113.42173	2.63384
prlekija-on.net	33	244.56382	5.67918
onaplus.delo.si	21	165.52997	3.84388
morel.si	20	80.17956	1.8619
odprtakuhinja.delo.si	19	260.56018	6.05065
politikis.si	19	82.9114	1.92534
lokalno.si	17	119.28823	2.77007
finance.si	16	77.61149	1.80227
druzina.si	14	100.52124	2.33427
dolenjskilist.si	12	76.03822	1.76574
radio1.si	11	379.77531	8.81902
racunalniske-novice.com	11	38.36861	0.89098
kozjansko.info	10	107.68143	2.50054
o-sta.si	10	390.29754	9.06336
cosmopolitan.metropolitan.si	9	49.12556	1.14078
marketingmagazin.si	9	84.1051	1.95306
dostop.si	8	78.31315	1.81856
monitor.si	8	106.0402	2.46243
novice.si	7	95.98901	2.22903
celje.info	6	51.2635	1.19042
metinalista.si	6	545.05672	12.65713
svetkapitala.delo.si	6	69.34442	1.61029
aktivni.metropolitan.si	6	40.71666	0.94551
micna.slovenskenovice.si	6	76.69791	1.78105
odkrito.svet24.si	6	159.88863	3.71288
metropolitan.si	4	43.51665	1.01053
misli.sta.si	4	50.42508	1.17096
avto-magazin.metropolitan.si	3	21.01567	0.48802
dominvrt.si	3	96.17747	2.2334
val202.rtvslo.si	3	252.76482	5.86962
vzajemci.com	3	377.87337	8.77485
dobrakarma.si	3	85.94186	1.99571
mladipodjetnik.si	3	159.74737	3.7096
bibaleze.si	2	87.34425	2.02828
cekin.si	2	50.97703	1.18377
izvozniki.finance.si	2	142.50374	3.30918
kum24.si	1	172.91266	4.01532
krog.sta.si	1	9.98264	0.23181
live.finance.si	1	111.52399	2.58977
pozareport.si	1	53.87918	1.25117
zadovoljna.si	1	13.87351	0.32217
tovarna.finance.si	1	77.08082	1.78995
skuhajmosi.kmeckiglas.com	1	503.32767	11.68811
klaranahtigal.kmeckiglas.com	1	106.50457	2.47322
znanost.sta.si	1	19.36569	0.4497
zdravje.si	1	116.02361	2.69426
manager.finance.si	1	62.54214	1.45233
agencija.sta.si	1	312.30794	7.25232
kmeckiglas.com	1	89.7352	2.0838
financnitrgi.com	1	112.89552	2.62162
avto-magazin.si	1	289.54336	6.72368
text.publisher	Frequency	Relative density	Relative in text types
Delo d.o.o.	306	103.55468	2.40471
Radiotelevizija Slovenija	261	82.29834	1.91111
Slovenska tiskovna agencija	222	41.6722	0.9677
Nova obzorja d.o.o.	212	273.21199	6.34444
Media24 d.o.o.	187	122.95709	2.85527
TSMedia d.o.o.	171	79.80096	1.85311
Dnevnik d.d.	140	100.45684	2.33278
Večer Mediji d.o.o.	132	116.7033	2.71005
Aleteia SAS	121	906.77539	21.05685
Nova hiša d.o.o.	116	167.62829	3.89261
Časnik spletni magazin, d.o.o.	113	487.14375	11.3123
Podjetje za informiranje Murska Sobota, d.o.o.	97	129.91004	3.01673
Data d.o.o.	87	1786.69394	41.49004
Mladina d.d.	86	180.71168	4.19643
Zavod Iskreni	70	237.79634	5.52203
Gorenjski glas, d.o.o., Kranj	68	54.49698	1.26551
Adria News Sarl	67	87.16653	2.02415
PRO PLUS d.o.o.	65	57.20257	1.32834
Styria Media si, d.o.o.	65	56.72707	1.3173
Reporter Media d.o.o.	45	125.81804	2.92171
Media Partner d.o.o.	37	85.79986	1.99242
Primorske novice, d.o.o.	37	111.63768	2.59241
BK TV d.o.o.	35	113.42173	2.63384
StudioEfekt, Dejan Razlag s.p.	33	244.56382	5.67918
Dolenjski list Novo mesto d.o.o.	29	96.5613	2.24232
Adria Media Ljubljana d.o.o.	23	39.86442	0.92572
Časnik Finance d.o.o.	21	61.61654	1.43084
Tiskovna agencija MOREL	20	80.17956	1.8619
Antrakade d.o.o.	19	82.9114	1.92534
Drugi svet, spletne tehnologije d.o.o.	16	76.22356	1.77004
Družina d.o.o.	14	105.45747	2.4489
Radio Pro 1 d.o.o.	11	382.26849	8.87692
Stromboli d.o.o.	11	38.36861	0.89098
Medijski partner d.o.o.	9	84.1051	1.95306
Dostop.si	8	78.31315	1.81856
