method name: collx					
corpus: trendi					
subcorpus: -					
concordance size: 2980					
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"					
Collocate	Freq	Coll. freq.	T-score	MI	logDice
🙏	101	149	10.04984	18.15514	10.04673
kalkulator	69	2786	8.30585	13.38064	8.61517
delitev	227	30241	15.06186	11.65843	7.80674
cockta	13	416	3.60528	13.7161	6.97082
izračunati	67	16693	8.18062	10.75523	6.80216
hvala	128	43981	11.30468	10.2915	6.48082
nekomunist	8	73	2.82837	15.52627	6.42399
relativizem	8	458	2.82805	12.87689	6.25265
slepiti	10	1392	3.16126	11.59508	6.22785
frljić	7	316	2.64547	13.21967	6.12085
analizirati	66	28295	8.11595	9.97223	6.11167
polpretekel	10	2083	3.16075	11.01358	6.01615
pegast	7	600	2.64522	12.29463	6.00161
mladost	51	25125	7.13326	9.77169	5.89389
video.sta.si	5	48	2.23602	15.45306	5.75778
javka	5	79	2.23599	14.73424	5.74308
nedoslednost	8	1952	2.82682	10.78536	5.73204
deljenje	19	8798	4.35421	9.86106	5.72412
privilegiranje	5	218	2.23584	13.26984	5.67897
totalitarizem	15	6906	3.86884	9.86935	5.63572
