method name: freqs			
corpus: siparl40			
subcorpus: -			
concordance size: 1922			
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"			
Legislative period (in Slovene)	Frequency	Relative density	Relative in text types
8. mandat (2018-06-22 - 2022-05-12)	447	142.50409	10.03183
7. mandat (2014-08-01 - 2018-06-21)	320	102.86892	7.24164
5. mandat (2008-10-15 - 2011-12-15)	299	129.55467	9.12023
6. mandat (2011-12-16 - 2014-07-31)	296	161.01967	11.33526
4. mandat (2004-10-22 - 2008-10-14)	234	92.37429	6.50285
3. mandat (2000-10-27 - 2004-10-21)	159	73.66623	5.18586
2. mandat (1996-11-28 - 2000-10-26)	105	45.64685	3.21339
1. mandat (1992-12-23 - 1996-11-27)	41	43.68335	3.07517
11. sklic (1990-05-08 - 1992-12-23)	21	23.43999	1.6501
Legislative period (in English)	Frequency	Relative density	Relative in text types
Term 8 (2018-06-22 - 2022-05-12)	447	142.50409	10.03183
Term 7 (2014-08-01 - 2018-06-21)	320	102.86892	7.24164
Term 5 (2008-10-15 - 2011-12-15)	299	129.55467	9.12023
Term 6 (2011-12-16 - 2014-07-31)	296	161.01967	11.33526
Term 4 (2004-10-22 - 2008-10-14)	234	92.37429	6.50285
Term 3 (2000-10-27 - 2004-10-21)	159	73.66623	5.18586
Term 2 (1996-11-28 - 2000-10-26)	105	45.64685	3.21339
Term 1 (1992-12-23 - 1996-11-27)	41	43.68335	3.07517
Term 11 (1990-05-08 - 1992-12-23)	21	23.43999	1.6501
Type of session (in Slovene)	Frequency	Relative density	Relative in text types
Redna seja	1062	83.97648	5.9209
Nujna seja	451	116.13484	8.18828
Izredna seja	387	152.73097	10.76855
Posebna seja	13	190.0002	13.39628
Javna predstavitev mnenj	12	92.47501	6.5201
Type of session (in English)	Frequency	Relative density	Relative in text types
Regular meeting	1062	83.97648	5.9209
Urgent meeting	451	116.13484	8.18828
Extraordinary meeting	387	152.73097	10.76855
Special meeting	13	190.0002	13.39628
Public presentation of opinions	12	92.47501	6.5201
Working body	Frequency	Relative density	Relative in text types
Državni zbor Republike Slovenije	1901	67.34022	7.30318
Odbor za delo družino socialne zadeve in invalide	81	83.98808	9.10868
Odbor za finance in monetarno politiko	58	43.20133	4.68527
Odbor za zunanjo politiko	58	85.8574	9.31141
Skupna seja	49	100.0245	10.84786
Komisija za nadzor javnih financ	43	65.38246	7.09086
Odbor za obrambo	43	75.00729	8.13469
Odbor za zdravstvo	40	60.49934	6.56128
Mandatno-imunitetna komisija	40	96.42822	10.45784
Komisija za odnose s Slovenci v zamejstvu in po svetu	40	135.41866	14.68643
Odbor za gospodarstvo	39	39.56558	4.29097
Odbor za infrastrukturo, okolje in prostor	36	79.51985	8.62409
Odbor za kulturo	34	99.0536	10.74256
Odbor za notranje zadeve, javno upravo in lokalno samoupravo	32	53.48789	5.80087
Odbor za zadeve Evropske unije	32	47.02694	5.10017
Odbor za izobraževanje, znanost, šport in mladino	28	78.48846	8.51223
Komisija za peticije ter za človekove pravice in enake možnosti	25	64.76923	7.02435
Odbor za notranjo politiko	25	82.47554	8.94464
Odbor za notranjo politiko javno upravo in pravosodje	24	50.26299	5.45112
Odbor za kmetijstvo gozdarstvo in prehrano	22	24.43378	2.64989
Skupščina Republike Slovenije	21	15.21501	1.6501
Skupščina Socialistične republike Slovenije	21	15.21501	1.6501
Odbor za finance	19	69.98788	7.59033
Odbor za promet	19	37.28096	4.0432
KPDZ - Kolegij predsednika DZ	15	54.48581	5.9091
Komisija za poslovnik	15	54.49107	5.90967
Odbor za okolje in prostor	14	72.11505	7.82102
Komisija za evropske zadeve	11	74.75917	8.10778
Komisija za nadzor proračuna in drugih javnih financ	11	38.7543	4.20298
Odbor za kulturo šolstvo in šport	11	40.10062	4.34899
Odbor za notranje zadeve	10	267.0134	28.95814
Odbor za pravosodje, javno upravo in lokalno samoupravo	10	211.77899	22.96786
Odbor za zdravstvo delo družino socialno politiko in invalide	9	55.63713	6.03396
