method name: freqml			
corpus: siparl40			
subcorpus: -			
concordance size: 1922			
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"			
Corpus token	Frequency	Freq. per million	% of concordance
naše  in  vaše	128	0.46882	6.65973
vaše  in  naše	62	0.22709	3.22581
naše  ,  vaše	39	0.14284	2.02914
naši  ,  vaši	35	0.12819	1.82102
naših  in  vaših	25	0.09157	1.30073
naši  in  vaši	23	0.08424	1.19667
vaše  ,  naše	23	0.08424	1.19667
vaši  in  naši	20	0.07325	1.04058
vaši  ,  naši	19	0.06959	0.98855
naša  ,  vaša	18	0.06593	0.93652
vaš  in  naš	17	0.06227	0.8845
naš  ,  vaš	17	0.06227	0.8845
vaših  in  naših	17	0.06227	0.8845
naši  -  vaši	16	0.0586	0.83247
naše  ali  vaše	13	0.04761	0.67638
"naše  ""  in  ""  vaše"	12	0.04395	0.62435
vaša  ,  naša	12	0.04395	0.62435
vaša  in  naša	11	0.04029	0.57232
naši  ali  vaši	11	0.04029	0.57232
našo  in  vašo	10	0.03663	0.52029
