method name: collx					
corpus: siparl40					
subcorpus: -					
concordance size: 1922					
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"					
Collocate	Freq	Coll. freq.	T-score	MI	logDice
deliti	105	15420	10.23636	9.91779	7.63226
delitev	66	13153	8.11264	9.47735	7.16452
desen	37	7394	6.07421	9.47337	7.02396
deljenje	7	315	2.64491	11.62421	6.68001
lev	36	9703	5.98862	9.04177	6.66498
ločevanje	6	765	2.44729	10.12171	6.19318
preštevati	5	386	2.23485	10.84553	6.1495
zgornji	10	5219	3.15066	8.08843	5.52002
spodnji	10	5453	3.15014	8.02515	5.4735
katerekoli	5	1855	2.23023	8.58078	5.4389
domovina	9	5330	2.98749	7.90606	5.34576
čigav	5	2331	2.22873	8.25125	5.26766
nevladnik	3	676	1.7293	9.30014	5.24178
mafija	3	740	1.72904	9.16964	5.20667
tvoj	6	4043	2.43787	7.71981	5.04266
drugorazreden	3	1065	1.72772	8.64438	5.04048
premier	6	4219	2.43736	7.65834	5.0007
ona	3	1256	1.72695	8.4064	4.95106
skupen	60	64274	7.68755	7.051	4.89243
levo	3	1700	1.72514	7.9697	4.76239
