	Item	Frequency (focus)	Frequency (reference)	Relative frequency (focus)	Relative frequency (reference)	Score
0	predlagan	14921	2212	399.13251	152.8269	2.425
1	novela	11964	1830	320.0336	126.43455	2.322
2	dopolnitev	6734	965	180.13258	66.67177	2.309
3	direktiva	5285	761	141.37225	52.57743	2.223
4	naroden	3659	529	97.8772	36.54856	2.085
5	ureditev	9899	1819	264.79541	125.67456	1.955
6	potrošnik	1898	243	50.77096	16.78885	1.924
7	ljudski	6535	1184	174.80939	81.80246	1.914
8	matičen	5320	948	142.30849	65.49724	1.898
9	novost	1447	163	38.70684	11.26166	1.878
10	zagotavljanje	4944	884	132.2506	61.07549	1.878
11	skupina	49554	10190	1325.55542	704.02625	1.858
12	poslanski	45343	9450	1212.91223	652.89972	1.832
13	ter	26776	5541	716.25037	382.82724	1.828
14	promet	8576	1687	229.40555	116.5547	1.826
15	klub	2574	418	68.85377	28.87959	1.818
16	naš	119440	25481	3194.98584	1760.48022	1.806
17	demokrat	9661	1975	258.42899	136.45259	1.78
18	pomanjkljivost	2529	427	67.65002	29.50139	1.771
19	skupnost	14842	3126	397.01929	215.9751	1.767
20	sprememba	37510	8138	1003.38184	562.25372	1.758
21	varstvo	9169	1920	245.26814	132.65263	1.738
22	opravljanje	3625	689	96.96771	47.60295	1.73
23	prinašati	6284	1290	168.09521	89.12599	1.724
24	unija	21006	4624	561.90454	319.47177	1.714
25	sprejetje	5201	1057	139.12526	73.02805	1.711
26	urejanje	3116	586	83.35211	40.48669	1.709
27	sprejem	3992	785	106.78486	54.23558	1.708
28	članica	6598	1382	176.49463	95.48227	1.702
29	pomislek	3763	738	100.65918	50.98836	1.7
30	določati	8044	1718	215.17471	118.69648	1.696
31	urejati	7666	1645	205.06331	113.65291	1.684
32	veljaven	5216	1087	139.52652	75.10075	1.677
33	pozdravljati	2973	574	79.5269	39.65761	1.668
34	meniti	15880	3570	424.78546	246.651	1.668
35	določitev	1665	271	44.53827	18.72337	1.667
36	uskladitev	1827	309	48.87173	21.34878	1.666
37	besedilo	3990	812	106.73137	56.10101	1.665
38	obravnava	14676	3297	392.5788	227.78946	1.665
39	slednji	1681	277	44.96627	19.13791	1.66
40	uvedba	3495	703	93.49026	48.57021	1.655
41	uveljavitev	2725	524	72.89297	36.20312	1.653
42	dopolnjen	1487	234	39.77683	16.16704	1.653
43	uporaba	6091	1313	162.93251	90.71506	1.652
44	telo	6773	1473	181.17583	101.76945	1.652
45	določba	8606	1906	230.20805	131.68538	1.65
46	pridobitev	2337	437	62.51408	30.19229	1.644
47	jezik	5460	1180	146.05344	81.5261	1.636
48	prometen	3484	714	93.19601	49.3302	1.633
49	poklicen	2573	498	68.82701	34.40678	1.633
50	podpreti	32526	7609	870.06122	525.7052	1.631
51	resolucija	6895	1528	184.43929	105.5694	1.628
52	kmetijski	6604	1460	176.65512	100.87128	1.627
53	zavezanec	2211	415	59.14362	28.67232	1.626
54	žival	2101	390	56.20115	26.94507	1.623
55	ohranjanje	1993	367	53.31218	25.356	1.616
56	ratifikacija	1119	158	29.93293	10.91621	1.615
57	dejavnost	11897	2747	318.24136	189.79001	1.612
58	obveznost	6893	1553	184.38579	107.29664	1.606
59	fundacija	774	78	20.70428	5.38901	1.603
60	cesten	3138	649	83.94061	44.83936	1.603
61	desus	7605	1728	203.43158	119.38737	1.603
62	članstvo	2051	387	54.86367	26.7378	1.602
63	invalid	3271	684	87.49832	47.2575	1.598
64	učinkovit	7675	1751	205.30406	120.97645	1.598
65	deklaracija	2608	524	69.76326	36.20312	1.597
66	raba	1515	260	40.52582	17.96338	1.594
67	energija	4435	972	118.63498	67.1554	1.591
68	prispevati	5561	1257	148.75516	86.84602	1.579
69	gozd	4292	949	114.80978	65.56633	1.576
70	nadaljnji	6911	1593	184.86728	110.06023	1.575
71	plin	1181	185	31.59141	12.78163	1.574
72	obravnavan	2080	408	55.63941	28.18869	1.57
73	krščanski	1844	350	49.32647	24.18147	1.569
74	naveden	5287	1203	141.42575	83.11517	1.565
75	obseg	4425	994	118.36749	68.67538	1.56
76	prevoz	2769	584	74.06996	40.34851	1.559
77	nesreča	3608	795	96.51297	54.92648	1.555
78	varnost	12934	3122	345.9808	215.69872	1.553
79	temveč	3672	813	98.22495	56.1701	1.552
80	vstop	3170	689	84.79659	47.60295	1.55
81	uresničevanje	2110	425	56.4419	29.36321	1.549
82	poudariti	7546	1788	201.85335	123.53277	1.546
83	upoštevanje	1629	306	43.57528	21.14151	1.545
84	pokrajina	5774	1347	154.45285	93.06413	1.543
85	povečanje	4142	939	110.79733	64.87543	1.541
86	vsebovati	2230	459	59.65187	31.71227	1.54
87	oblikovanje	2541	538	67.97102	37.17038	1.539
88	izvajanje	8950	2152	239.40994	148.6815	1.538
89	varovanje	3135	689	83.86036	47.60295	1.536
90	opredelitev	1499	277	40.09782	19.13791	1.536
91	pomen	5951	1401	159.18756	96.79497	1.534
92	izboljšanje	2963	649	79.25941	44.83936	1.531
93	ustrezen	11975	2931	320.32785	202.50255	1.53
94	morebiten	3153	698	84.34185	48.22476	1.529
95	ustrezno	3711	840	99.2682	58.03553	1.528
96	obstoječ	5454	1282	145.89294	88.57327	1.528
97	trg	10488	2562	280.55103	177.00836	1.526
98	lovišče	528	36	14.12385	2.48724	1.517
99	odpravljati	1986	409	53.12494	28.25778	1.515
