ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.u1	ParlaMint-SI_2019-11-18-SDZ8-Redna-13	u	Slovenian	Negative	mixed negative	1.490	39	631	733	37	
ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.seg1.1	ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.u1	s	Slovenian	Positive	mixed positive	3.775	1	9	12	0	
ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.seg2.1	ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.u1	s	Slovenian	Neutral	neutral positive	3.059	1	18	20	2	
ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.seg2.2	ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.u1	s	Slovenian	Neutral	neutral negative	1.628	1	39	46	6	
ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.seg3.1	ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.u1	s	Slovenian	Neutral	neutral positive	2.709	1	49	56	6	
ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.seg3.2	ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.u1	s	Slovenian	Positive	mixed positive	3.925	1	8	10	0	
ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.seg4.1	ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.u1	s	Slovenian	Neutral	neutral positive	3.154	1	11	12	1	
ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.seg4.2	ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.u1	s	Slovenian	Neutral	neutral positive	3.063	1	13	16	0	
ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.seg4.3	ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.u1	s	Slovenian	Neutral	neutral positive	2.882	1	16	17	1	
ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.seg4.4	ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.u1	s	Slovenian	Neutral	neutral negative	2.466	1	17	18	0	
ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.seg4.5	ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.u1	s	Slovenian	Neutral	neutral positive	2.979	1	15	18	0	
ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.seg5.1	ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.u1	s	Slovenian	Neutral	neutral positive	3.352	1	9	12	0	
ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.seg5.2	ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.u1	s	Slovenian	Positive	mixed positive	3.598	1	7	9	0	
ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.seg5.3	ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.u1	s	Slovenian	Positive	positive	4.511	1	1	2	0	
ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.seg6.1	ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.u1	s	Slovenian	Neutral	neutral positive	3.326	1	1	2	0	
ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.seg6.2	ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.u1	s	Slovenian	Neutral	neutral positive	3.326	1	12	15	0	
ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.seg8.1	ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.u1	s	Slovenian	Neutral	neutral positive	3.179	1	10	12	1	
ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.seg9.1	ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.u1	s	Slovenian	Neutral	neutral positive	2.987	1	9	13	0	
ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.seg9.2	ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.u1	s	Slovenian	Neutral	neutral positive	2.856	1	7	9	0	
ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.seg10.1	ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.u1	s	Slovenian	Neutral	neutral positive	2.970	1	17	18	0	
ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.seg10.2	ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.u1	s	Slovenian	Neutral	neutral positive	2.946	1	22	24	1	
ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.seg11.1	ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.u1	s	Slovenian	Neutral	neutral positive	2.614	1	18	19	1	
ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.seg11.2	ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.u1	s	Slovenian	Neutral	neutral positive	2.842	1	12	13	0	
ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.seg11.3	ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.u1	s	Slovenian	Neutral	neutral positive	2.662	1	12	14	1	
ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.seg11.4	ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.u1	s	Slovenian	Neutral	neutral positive	2.616	1	14	16	0	
ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.seg11.5	ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.u1	s	Slovenian	Neutral	neutral negative	2.392	1	17	21	0	
ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.seg11.6	ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.u1	s	Slovenian	Neutral	neutral positive	3.137	1	9	11	0	
ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.seg11.7	ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.u1	s	Slovenian	Neutral	neutral positive	2.595	1	18	20	0	
ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.seg12.1	ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.u1	s	Slovenian	Neutral	neutral negative	2.367	1	21	26	1	
ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.seg12.2	ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.u1	s	Slovenian	Neutral	neutral positive	2.875	1	10	11	1	
ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.seg12.3	ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.u1	s	Slovenian	Neutral	neutral negative	2.207	1	35	38	0	
ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.seg13.1	ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.u1	s	Slovenian	Neutral	neutral negative	2.253	1	25	29	1	
ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.seg13.2	ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.u1	s	Slovenian	Neutral	neutral negative	2.488	1	17	22	0	
ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.seg13.3	ParlaMint-SI_2019-11-18-SDZ8-Redna-13.ana.u1	s	Slovenian	Neutral	neutral positive	2.990	1	12	13	1	
