ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u1	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28	u	slovenski	Nevtralen	nevtralno pozitiven	3.300	21	290	339	24	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg1.1	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u1	s	slovenski	Pozitiven	mešano pozitiven	4.079	1	9	11	0	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg2.1	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.967	1	24	26	2	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg3.1	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u1	s	slovenski	Nevtralen	nevtralno negativen	1.716	1	80	97	15	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg4.1	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.874	1	8	9	1	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg5.1	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u1	s	slovenski	Pozitiven	pozitiven	4.814	1	4	5	0	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg6.1	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.117	1	10	11	1	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg6.2	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.060	1	13	16	0	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg6.3	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.882	1	16	17	1	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg6.4	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.702	1	7	8	0	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg6.5	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.038	1	16	19	0	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg7.1	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.338	1	3	4	0	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg7.2	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.447	1	8	10	0	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg8.1	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.326	1	1	2	0	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg8.2	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.395	1	12	15	0	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg10.1	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u1	s	slovenski	Pozitiven	mešano pozitiven	3.653	1	6	8	0	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg11.1	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.270	1	3	4	0	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg11.2	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.632	1	18	20	0	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg12.1	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.990	1	16	17	1	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg12.2	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.707	1	23	25	2	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg13.1	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.982	1	12	13	1	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg14.1	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.427	1	1	2	0	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28	u	slovenski	Negativen	mešano negativen	0.510	40	1067	1224	37	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg15.1	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Pozitiven	mešano pozitiven	3.665	1	4	7	0	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg15.2	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Pozitiven	mešano pozitiven	4.197	1	5	7	0	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg15.3	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Pozitiven	mešano pozitiven	4.058	1	6	7	0	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg16.1	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Nevtralen	nevtralno negativen	1.988	1	32	38	0	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg16.2	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Nevtralen	nevtralno negativen	2.497	1	32	36	4	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg16.3	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Negativen	mešano negativen	0.733	1	28	30	3	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg16.4	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Negativen	negativen	0.310	1	45	52	2	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg16.5	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Negativen	mešano negativen	1.274	1	19	20	1	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg16.6	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Negativen	mešano negativen	0.509	1	13	15	1	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg16.7	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Negativen	negativen	0.208	1	55	65	1	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg16.8	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Nevtralen	nevtralno negativen	1.544	1	41	47	0	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg16.9	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Negativen	mešano negativen	0.508	1	44	51	0	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg17.1	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Nevtralen	nevtralno negativen	2.474	1	43	50	2	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg17.2	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Nevtralen	nevtralno pozitiven	3.124	1	8	9	0	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg17.3	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Nevtralen	nevtralno pozitiven	3.205	1	11	13	0	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg17.4	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Negativen	negativen	0.496	1	18	21	0	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg17.5	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Nevtralen	nevtralno pozitiven	2.899	1	42	46	3	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg17.6	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Negativen	mešano negativen	0.573	1	39	43	1	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg17.7	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Negativen	mešano negativen	1.221	1	25	28	0	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg17.8	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Negativen	negativen	0.185	1	40	46	0	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg17.9	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Nevtralen	nevtralno negativen	2.484	1	31	35	2	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg17.10	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Nevtralen	nevtralno pozitiven	3.012	1	3	5	0	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg18.1	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Negativen	negativen	0.373	1	9	10	0	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg18.2	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Negativen	negativen	0.180	1	41	48	0	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg18.3	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Negativen	negativen	0.188	1	24	28	0	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg19.1	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Nevtralen	nevtralno negativen	1.523	1	58	67	1	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg19.2	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Nevtralen	nevtralno pozitiven	3.182	1	7	8	1	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg19.3	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Nevtralen	nevtralno pozitiven	3.291	1	6	7	1	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg19.4	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Negativen	mešano negativen	1.088	1	12	14	0	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg19.5	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Nevtralen	nevtralno negativen	1.825	1	24	28	1	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg19.6	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Nevtralen	nevtralno pozitiven	2.983	1	39	44	0	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg20.1	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Nevtralen	nevtralno pozitiven	3.263	1	12	14	0	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg20.2	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Pozitiven	mešano pozitiven	4.350	1	29	35	1	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg20.3	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Pozitiven	mešano pozitiven	3.990	1	68	74	3	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg20.4	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Nevtralen	nevtralno negativen	1.585	1	56	62	4	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg20.5	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Nevtralen	nevtralno negativen	2.093	1	35	41	2	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg20.6	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Nevtralen	nevtralno pozitiven	2.786	1	19	21	2	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg21.1	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Nevtralen	nevtralno negativen	1.857	1	19	23	0	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg21.2	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Pozitiven	mešano pozitiven	3.792	1	24	27	1	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg21.3	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u2	s	slovenski	Pozitiven	pozitiven	4.511	1	1	2	0	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u3	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28	u	slovenski	Nevtralen	nevtralno pozitiven	2.580	4	29	34	2	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg22.1	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u3	s	slovenski	Pozitiven	mešano pozitiven	4.085	1	2	3	0	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg23.1	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u3	s	slovenski	Nevtralen	nevtralno pozitiven	2.900	1	17	19	1	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg24.1	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u3	s	slovenski	Nevtralen	nevtralno pozitiven	3.199	1	9	10	1	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg25.1	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u3	s	slovenski	Nevtralen	nevtralno pozitiven	3.427	1	1	2	0	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u4	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28	u	slovenski	Nevtralen	nevtralno negativen	2.020	21	478	526	16	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg26.1	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u4	s	slovenski	Pozitiven	mešano pozitiven	3.807	1	7	10	1	
ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.seg27.1	ParlaMint-SI_2019-11-22-SDZ8-Izredna-28.ana.u4	s	slovenski	Nevtralen	nevtralno negativen	2.464	1	55	58	3	
