ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	ParlaMint-SI_2020-01-27-SDZ8-Redna-15	u	slovenski	Nevtralen	nevtralno negativen	1.770	62	997	1164	33	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg1.1	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Pozitiven	mešano pozitiven	3.775	1	9	12	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg1.2	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.989	1	18	20	2	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg2.1	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno negativen	1.668	1	42	50	6	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg3.1	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.707	1	60	66	7	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg3.2	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Pozitiven	pozitiven	4.644	1	6	7	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg4.1	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Pozitiven	mešano pozitiven	3.810	1	3	4	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg4.2	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.750	1	16	18	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg5.1	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.303	1	13	19	1	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg6.1	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.595	1	14	17	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg6.2	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.174	1	15	18	1	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg6.3	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Negativen	negativen	0.230	1	21	24	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg6.4	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Negativen	mešano negativen	0.610	1	15	17	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg6.5	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Negativen	negativen	0.360	1	11	12	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg6.6	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Negativen	negativen	0.273	1	25	31	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg6.7	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Negativen	mešano negativen	1.195	1	15	18	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg6.8	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Negativen	mešano negativen	1.489	1	8	9	1	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg6.9	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Negativen	negativen	0.427	1	19	23	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg6.10	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno negativen	1.602	1	34	40	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg7.1	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.692	1	9	12	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg7.2	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno negativen	1.575	1	14	16	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg7.3	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Negativen	negativen	0.276	1	10	12	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg7.4	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Negativen	mešano negativen	0.519	1	22	26	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg7.5	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Negativen	negativen	0.340	1	23	26	1	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg7.6	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Negativen	negativen	0.280	1	22	27	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg7.7	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Negativen	mešano negativen	0.982	1	15	20	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg7.8	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno negativen	1.811	1	22	23	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg7.9	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno negativen	1.640	1	25	28	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg8.1	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Pozitiven	mešano pozitiven	3.530	1	29	34	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg9.1	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Pozitiven	pozitiven	4.511	1	1	2	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg10.1	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.129	1	14	17	1	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg10.2	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.040	1	13	16	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg10.3	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.882	1	16	17	1	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg10.4	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno negativen	2.466	1	17	18	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg10.5	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.021	1	15	18	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg11.1	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.445	1	11	14	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg11.2	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Pozitiven	pozitiven	4.511	1	1	2	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg12.1	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.326	1	1	2	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg12.2	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.331	1	12	15	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg14.1	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.440	1	9	11	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg15.1	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.449	1	5	6	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg15.2	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.856	1	7	9	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg16.1	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.903	1	17	19	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg16.2	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.946	1	22	24	1	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg17.1	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.640	1	18	19	1	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg17.2	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.807	1	12	13	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg17.3	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.649	1	12	14	1	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg17.4	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.615	1	15	17	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg17.5	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno negativen	2.392	1	17	21	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg17.6	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.137	1	9	11	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg17.7	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.594	1	18	20	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg17.8	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno negativen	2.367	1	21	26	1	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg17.9	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.875	1	10	11	1	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg18.1	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno negativen	2.271	1	35	38	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg18.2	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno negativen	2.253	1	25	29	1	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg18.3	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno negativen	2.488	1	17	22	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg18.4	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.990	1	12	13	1	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg19.1	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.740	1	36	39	2	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg20.1	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.503	1	16	19	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg20.2	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.045	1	5	6	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg20.3	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.830	1	11	12	2	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg21.1	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.967	1	9	10	1	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg22.1	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.467	1	3	5	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u2	ParlaMint-SI_2020-01-27-SDZ8-Redna-15	u	slovenski	Negativen	negativen	0.430	18	388	456	5	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg23.1	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u2	s	slovenski	Pozitiven	mešano pozitiven	3.889	1	6	7	0	
ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.seg24.1	ParlaMint-SI_2020-01-27-SDZ8-Redna-15.ana.u2	s	slovenski	Nevtralen	nevtralno negativen	2.467	1	18	21	0	
