ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-SI_2020-04-30-SDZ8-Izredna-36.ana.u1	ParlaMint-SI_2020-04-30-SDZ8-Izredna-36	u	Slovenian	Neutral	neutral positive	3.060	11	128	155	13	
ParlaMint-SI_2020-04-30-SDZ8-Izredna-36.ana.seg1.1	ParlaMint-SI_2020-04-30-SDZ8-Izredna-36.ana.u1	s	Slovenian	Positive	mixed positive	3.980	1	8	11	0	
ParlaMint-SI_2020-04-30-SDZ8-Izredna-36.ana.seg2.1	ParlaMint-SI_2020-04-30-SDZ8-Izredna-36.ana.u1	s	Slovenian	Neutral	neutral positive	3.290	1	6	7	1	
ParlaMint-SI_2020-04-30-SDZ8-Izredna-36.ana.seg3.1	ParlaMint-SI_2020-04-30-SDZ8-Izredna-36.ana.u1	s	Slovenian	Neutral	neutral negative	1.580	1	31	42	9	
ParlaMint-SI_2020-04-30-SDZ8-Izredna-36.ana.seg3.2	ParlaMint-SI_2020-04-30-SDZ8-Izredna-36.ana.u1	s	Slovenian	Neutral	neutral positive	2.748	1	9	10	1	
ParlaMint-SI_2020-04-30-SDZ8-Izredna-36.ana.seg4.1	ParlaMint-SI_2020-04-30-SDZ8-Izredna-36.ana.u1	s	Slovenian	Positive	positive	4.814	1	4	5	0	
ParlaMint-SI_2020-04-30-SDZ8-Izredna-36.ana.seg5.1	ParlaMint-SI_2020-04-30-SDZ8-Izredna-36.ana.u1	s	Slovenian	Neutral	neutral positive	3.133	1	10	11	1	
ParlaMint-SI_2020-04-30-SDZ8-Izredna-36.ana.seg5.2	ParlaMint-SI_2020-04-30-SDZ8-Izredna-36.ana.u1	s	Slovenian	Neutral	neutral positive	2.985	1	12	15	0	
ParlaMint-SI_2020-04-30-SDZ8-Izredna-36.ana.seg5.3	ParlaMint-SI_2020-04-30-SDZ8-Izredna-36.ana.u1	s	Slovenian	Neutral	neutral positive	2.882	1	16	17	1	
ParlaMint-SI_2020-04-30-SDZ8-Izredna-36.ana.seg5.4	ParlaMint-SI_2020-04-30-SDZ8-Izredna-36.ana.u1	s	Slovenian	Neutral	neutral positive	2.591	1	14	15	0	
