parlamint	party_id	party	year	lrgen	galtan	family	seat	grouped_parties
DeSUS	2906	DeSUS	2002	3.4	5.8	No family	4.4	DeSUS
DeSUS	2906	DeSUS	2006	3.2	4.5	No family	4.4	DeSUS
DeSUS	2906	DeSUS	2010	4.2	5.2	No family	7.8	DeSUS
DeSUS	2906	DeSUS	2014	4.2	5.3	No family	11.1	DeSUS
DeSUS	2906	DeSUS	2019	3.8	5.1	No family	5.7	DeSUS
LDS	2901	LDS	2002	4.2	3	Liberal	37.8	LDS
LDS	2901	LDS	2006	3.4	2.8	Liberal	25.6	LDS
LDS	2901	LDS	2010	4.8	1.6	Liberal	5.6	LDS
LMŠ	2915	LMS	2019	4.4	4.6	Liberal	14.8	LMŠ
Levica	2912	Levica	2019	0.7	1	Socialist	10.2	ZL/Levica
Levica + ZL	2912	ZL	2014	1.0	1.3	Socialist	6.7	ZL/Levica
NSi	2905	NSI	2002	7.0	7.8	Christian-Democratic	8.9	NSi
NSi	2905	NSI	2006	8.4	8.8	Christian-Democratic	10	NSi
NSi	2905	NSI	2010	7.8	9.3	Christian-Democratic	0	NSi
NSi	2905	NSI	2014	7.8	8.3	Christian-Democratic	5.6	NSi
NSi	2905	NSI	2019	7.5	8	Christian-Democratic	8	NSi
PS	2914	PS	2014	3.4	3.5	Socialist	0	PS
SAB + ZaSLD	2913	AB	2019	4.2	3.3	No family	5.7	SAB + ZaSLD
SD	2903	SD	2010	3.7	2.5	Socialist	32.2	ZLSD/SD
SD	2903	SD	2014	3.2	3.5	Socialist	6.7	ZLSD/SD
SD	2903	SD	2019	2.6	2.5	Socialist	11.4	ZLSD/SD
SD + ZLSD	2903	ZLSD	2002	3.6	3.8	Socialist	12.2	SD + ZLSD
SD + ZLSD	2903	ZLSD	2006	3.6	2.8	Socialist	11.1	SD + ZLSD
SDS	2902	SDS	2002	6.4	5.8	Conservatives	15.6	SDS
SDS	2902	SDS	2006	7.4	7.4	Conservatives	32.2	SDS
SDS	2902	SDS	2010	6.9	7.8	Conservatives	31.1	SDS
SDS	2902	SDS	2014	8.7	8.4	Conservatives	23.3	SDS
SDS	2902	SDS	2019	8.6	8.7	Conservatives	28.4	SDS
SLS	2904	SLS	2006	6.4	8	Christian-Democratic	7.8	SLS+SKD/SLS
SLS	2904	SLS	2014	6.5	7.1	Christian-Democratic	0	SLS+SKD/SLS
SLS+SKD	2904	SLS-SKD	2002	6.8	7.2	Christian-Democratic	10	SLS+SKD/SLS
SMC	2911	SMC	2014	5.2	4.4	Liberal	40	SMC/GAS/Konkretno
SMC	2911	SMC	2019	4.8	4.1	Liberal	11.4	SMC/GAS/Konkretno
SMS	2908	SMS	2002	4.4	3.2	No family	4.4	SMS
SNS	2907	SNS	2002	3.6	5.6	Radical Right	4.4	SNS
SNS	2907	SNS	2006	6.0	6.8	Radical Right	6.7	SNS
SNS	2907	SNS	2010	8.0	8.5	Radical Right	5.6	SNS
SNS	2907	SNS	2019	8.7	8.5	Radical Right	4.5	SNS
ZaAB	2913	ZaAB	2014	4.2	3.3	No family	4.4	ZaAB/ZaSLD/SAB
Zares	2910	Zares	2010	3.9	1.8	Liberal	10	Zares
