ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-SI_2014-01-29-SDZ6-Redna-21.ana.u1	ParlaMint-SI_2014-01-29-SDZ6-Redna-21	u	Slovenian	Neutral	neutral negative	1.830	8	117	139	13	
ParlaMint-SI_2014-01-29-SDZ6-Redna-21.ana.seg1.1	ParlaMint-SI_2014-01-29-SDZ6-Redna-21.ana.u1	s	Slovenian	Positive	mixed positive	4.052	1	9	11	0	
ParlaMint-SI_2014-01-29-SDZ6-Redna-21.ana.seg2.1	ParlaMint-SI_2014-01-29-SDZ6-Redna-21.ana.u1	s	Slovenian	Neutral	neutral positive	3.303	1	7	8	1	
ParlaMint-SI_2014-01-29-SDZ6-Redna-21.ana.seg2.2	ParlaMint-SI_2014-01-29-SDZ6-Redna-21.ana.u1	s	Slovenian	Neutral	neutral negative	1.657	1	50	62	10	
ParlaMint-SI_2014-01-29-SDZ6-Redna-21.ana.seg2.3	ParlaMint-SI_2014-01-29-SDZ6-Redna-21.ana.u1	s	Slovenian	Positive	positive	4.512	1	4	5	0	
ParlaMint-SI_2014-01-29-SDZ6-Redna-21.ana.seg3.1	ParlaMint-SI_2014-01-29-SDZ6-Redna-21.ana.u1	s	Slovenian	Neutral	neutral positive	3.196	1	3	4	0	
ParlaMint-SI_2014-01-29-SDZ6-Redna-21.ana.seg3.2	ParlaMint-SI_2014-01-29-SDZ6-Redna-21.ana.u1	s	Slovenian	Neutral	neutral negative	2.110	1	19	21	0	
ParlaMint-SI_2014-01-29-SDZ6-Redna-21.ana.seg4.1	ParlaMint-SI_2014-01-29-SDZ6-Redna-21.ana.u1	s	Slovenian	Neutral	neutral positive	2.761	1	15	17	1	
ParlaMint-SI_2014-01-29-SDZ6-Redna-21.ana.seg5.1	ParlaMint-SI_2014-01-29-SDZ6-Redna-21.ana.u1	s	Slovenian	Neutral	neutral positive	2.987	1	10	11	1	
ParlaMint-SI_2014-01-29-SDZ6-Redna-21.ana.u2	ParlaMint-SI_2014-01-29-SDZ6-Redna-21	u	Slovenian	Negative	negative	0.000	292	5185	6042	181	
ParlaMint-SI_2014-01-29-SDZ6-Redna-21.ana.seg6.1	ParlaMint-SI_2014-01-29-SDZ6-Redna-21.ana.u2	s	Slovenian	Positive	mixed positive	3.906	1	9	14	1	
ParlaMint-SI_2014-01-29-SDZ6-Redna-21.ana.seg7.1	ParlaMint-SI_2014-01-29-SDZ6-Redna-21.ana.u2	s	Slovenian	Positive	mixed positive	3.610	1	6	7	0	
ParlaMint-SI_2014-01-29-SDZ6-Redna-21.ana.seg7.2	ParlaMint-SI_2014-01-29-SDZ6-Redna-21.ana.u2	s	Slovenian	Negative	mixed negative	0.650	1	28	31	0	
ParlaMint-SI_2014-01-29-SDZ6-Redna-21.ana.seg8.1	ParlaMint-SI_2014-01-29-SDZ6-Redna-21.ana.u2	s	Slovenian	Negative	negative	0.301	1	15	18	1	
