Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth	Topic
ParlaMint-SI_2014-01-24-SDZ6-Izredna-53	ParlaMint-SI_2014-01-24-SDZ6-Izredna-53.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 53, (24. 01. 2014)	2014-01-24	Lower house	6. mandat	-	Izredna	-	-	Reference	Slovenian	Chairperson	MP	notMinister	SD	Social Democrats	Coalition	Centre-left	VeberJanko	Veber, Janko	M	1960	Other
ParlaMint-SI_2014-01-24-SDZ6-Izredna-53	ParlaMint-SI_2014-01-24-SDZ6-Izredna-53.u2	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 53, (24. 01. 2014)	2014-01-24	Lower house	6. mandat	-	Izredna	-	-	Reference	Slovenian	Regular	MP	notMinister	SDS	Slovenian Democratic Party	Opposition	Right	VizjakAndrej	Vizjak, Andrej	M	1964	Energy
ParlaMint-SI_2014-01-24-SDZ6-Izredna-53	ParlaMint-SI_2014-01-24-SDZ6-Izredna-53.u3	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 53, (24. 01. 2014)	2014-01-24	Lower house	6. mandat	-	Izredna	-	-	Reference	Slovenian	Chairperson	MP	notMinister	SD	Social Democrats	Coalition	Centre-left	VeberJanko	Veber, Janko	M	1960	Housing
ParlaMint-SI_2014-01-24-SDZ6-Izredna-53	ParlaMint-SI_2014-01-24-SDZ6-Izredna-53.u4	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 53, (24. 01. 2014)	2014-01-24	Lower house	6. mandat	-	Izredna	-	-	Reference	Slovenian	Regular	MP	notMinister	SD	Social Democrats	Coalition	Centre-left	BevkSamo	Bevk, Samo	M	1956	Energy
ParlaMint-SI_2014-01-24-SDZ6-Izredna-53	ParlaMint-SI_2014-01-24-SDZ6-Izredna-53.u5	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 53, (24. 01. 2014)	2014-01-24	Lower house	6. mandat	-	Izredna	-	-	Reference	Slovenian	Chairperson	MP	notMinister	SD	Social Democrats	Coalition	Centre-left	VeberJanko	Veber, Janko	M	1960	Housing
ParlaMint-SI_2014-01-24-SDZ6-Izredna-53	ParlaMint-SI_2014-01-24-SDZ6-Izredna-53.u6	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 53, (24. 01. 2014)	2014-01-24	Lower house	6. mandat	-	Izredna	-	-	Reference	Slovenian	Regular	notMP	Minister	-	-	-	-	OmerzelSamo	Omerzel, Samo	M	1974	Energy
ParlaMint-SI_2014-01-24-SDZ6-Izredna-53	ParlaMint-SI_2014-01-24-SDZ6-Izredna-53.u7	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 53, (24. 01. 2014)	2014-01-24	Lower house	6. mandat	-	Izredna	-	-	Reference	Slovenian	Chairperson	MP	notMinister	SD	Social Democrats	Coalition	Centre-left	VeberJanko	Veber, Janko	M	1960	Other
ParlaMint-SI_2014-01-24-SDZ6-Izredna-53	ParlaMint-SI_2014-01-24-SDZ6-Izredna-53.u8	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 53, (24. 01. 2014)	2014-01-24	Lower house	6. mandat	-	Izredna	-	-	Reference	Slovenian	Regular	MP	notMinister	DeSUS	Democratic Party of Pensioners of Slovenia	Coalition	Centre to centre-left	KotnikPoropatMarjana	Kotnik Poropat, Marjana	F	1944	Energy
ParlaMint-SI_2014-01-24-SDZ6-Izredna-53	ParlaMint-SI_2014-01-24-SDZ6-Izredna-53.u9	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 53, (24. 01. 2014)	2014-01-24	Lower house	6. mandat	-	Izredna	-	-	Reference	Slovenian	Chairperson	MP	notMinister	SD	Social Democrats	Coalition	Centre-left	VeberJanko	Veber, Janko	M	1960	Other
ParlaMint-SI_2014-01-24-SDZ6-Izredna-53	ParlaMint-SI_2014-01-24-SDZ6-Izredna-53.u10	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 53, (24. 01. 2014)	2014-01-24	Lower house	6. mandat	-	Izredna	-	-	Reference	Slovenian	Regular	MP	notMinister	NSi	New Slovenia – Christian Democrats	Opposition	Centre-right	ToninMatej	Tonin, Matej	M	1983	Energy
ParlaMint-SI_2014-01-24-SDZ6-Izredna-53	ParlaMint-SI_2014-01-24-SDZ6-Izredna-53.u11	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 53, (24. 01. 2014)	2014-01-24	Lower house	6. mandat	-	Izredna	-	-	Reference	Slovenian	Chairperson	MP	notMinister	DL	Civic List	Coalition	Centre to centre-right	KomarPolonca	Komar, Polonca	F	1967	Other
ParlaMint-SI_2014-01-24-SDZ6-Izredna-53	ParlaMint-SI_2014-01-24-SDZ6-Izredna-53.u12	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 53, (24. 01. 2014)	2014-01-24	Lower house	6. mandat	-	Izredna	-	-	Reference	Slovenian	Regular	MP	notMinister	PS	Positive Slovenia	Coalition	Centre to centre-left	VelikonjaJože	Velikonja, Jože	M	1965	Energy
ParlaMint-SI_2014-01-24-SDZ6-Izredna-53	ParlaMint-SI_2014-01-24-SDZ6-Izredna-53.u13	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 53, (24. 01. 2014)	2014-01-24	Lower house	6. mandat	-	Izredna	-	-	Reference	Slovenian	Chairperson	MP	notMinister	DL	Civic List	Coalition	Centre to centre-right	KomarPolonca	Komar, Polonca	F	1967	Other
ParlaMint-SI_2014-01-24-SDZ6-Izredna-53	ParlaMint-SI_2014-01-24-SDZ6-Izredna-53.u14	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 53, (24. 01. 2014)	2014-01-24	Lower house	6. mandat	-	Izredna	-	-	Reference	Slovenian	Regular	MP	notMinister	SDS	Slovenian Democratic Party	Opposition	Right	ČernačZvonko	Černač, Zvonko	M	1962	Energy
ParlaMint-SI_2014-01-24-SDZ6-Izredna-53	ParlaMint-SI_2014-01-24-SDZ6-Izredna-53.u15	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 53, (24. 01. 2014)	2014-01-24	Lower house	6. mandat	-	Izredna	-	-	Reference	Slovenian	Chairperson	MP	notMinister	DL	Civic List	Coalition	Centre to centre-right	KomarPolonca	Komar, Polonca	F	1967	Other
ParlaMint-SI_2014-01-24-SDZ6-Izredna-53	ParlaMint-SI_2014-01-24-SDZ6-Izredna-53.u16	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 53, (24. 01. 2014)	2014-01-24	Lower house	6. mandat	-	Izredna	-	-	Reference	Slovenian	Regular	MP	notMinister	SD	Social Democrats	Coalition	Centre-left	MehSrečko	Meh, Srečko	M	1943	Energy
ParlaMint-SI_2014-01-24-SDZ6-Izredna-53	ParlaMint-SI_2014-01-24-SDZ6-Izredna-53.u17	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 53, (24. 01. 2014)	2014-01-24	Lower house	6. mandat	-	Izredna	-	-	Reference	Slovenian	Chairperson	MP	notMinister	DL	Civic List	Coalition	Centre to centre-right	KomarPolonca	Komar, Polonca	F	1967	Other
ParlaMint-SI_2014-01-24-SDZ6-Izredna-53	ParlaMint-SI_2014-01-24-SDZ6-Izredna-53.u18	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 53, (24. 01. 2014)	2014-01-24	Lower house	6. mandat	-	Izredna	-	-	Reference	Slovenian	Regular	MP	notMinister	SD	Social Democrats	Coalition	Centre-left	MehSrečko	Meh, Srečko	M	1943	Energy
ParlaMint-SI_2014-01-24-SDZ6-Izredna-53	ParlaMint-SI_2014-01-24-SDZ6-Izredna-53.u19	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 53, (24. 01. 2014)	2014-01-24	Lower house	6. mandat	-	Izredna	-	-	Reference	Slovenian	Chairperson	MP	notMinister	DL	Civic List	Coalition	Centre to centre-right	KomarPolonca	Komar, Polonca	F	1967	Other
ParlaMint-SI_2014-01-24-SDZ6-Izredna-53	ParlaMint-SI_2014-01-24-SDZ6-Izredna-53.u20	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 53, (24. 01. 2014)	2014-01-24	Lower house	6. mandat	-	Izredna	-	-	Reference	Slovenian	Regular	MP	notMinister	DL	Civic List	Coalition	Centre to centre-right	PavlišičMarko	Pavlišič, Marko	M	1972	Energy
ParlaMint-SI_2014-01-24-SDZ6-Izredna-53	ParlaMint-SI_2014-01-24-SDZ6-Izredna-53.u21	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 53, (24. 01. 2014)	2014-01-24	Lower house	6. mandat	-	Izredna	-	-	Reference	Slovenian	Chairperson	MP	notMinister	DL	Civic List	Coalition	Centre to centre-right	KomarPolonca	Komar, Polonca	F	1967	Other
ParlaMint-SI_2014-01-24-SDZ6-Izredna-53	ParlaMint-SI_2014-01-24-SDZ6-Izredna-53.u22	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 53, (24. 01. 2014)	2014-01-24	Lower house	6. mandat	-	Izredna	-	-	Reference	Slovenian	Regular	MP	notMinister	SLS	Slovenian People's Party	Opposition	Centre-right	BogovičFranc	Bogovič, Franc	M	1963	Energy
ParlaMint-SI_2014-01-24-SDZ6-Izredna-53	ParlaMint-SI_2014-01-24-SDZ6-Izredna-53.u23	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 53, (24. 01. 2014)	2014-01-24	Lower house	6. mandat	-	Izredna	-	-	Reference	Slovenian	Chairperson	MP	notMinister	DL	Civic List	Coalition	Centre to centre-right	KomarPolonca	Komar, Polonca	F	1967	Other
ParlaMint-SI_2014-01-24-SDZ6-Izredna-53	ParlaMint-SI_2014-01-24-SDZ6-Izredna-53.u24	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 53, (24. 01. 2014)	2014-01-24	Lower house	6. mandat	-	Izredna	-	-	Reference	Slovenian	Regular	MP	notMinister	SDS	Slovenian Democratic Party	Opposition	Right	VizjakAndrej	Vizjak, Andrej	M	1964	Energy
