ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.u1	ParlaMint-SI_2019-12-02-SDZ8-Izredna-30	u	slovenski	Nevtralen	nevtralno pozitiven	3.120	19	260	304	16	
ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.seg1.1	ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.u1	s	slovenski	Pozitiven	mešano pozitiven	3.721	1	7	10	0	
ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.seg2.1	ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.952	1	24	26	2	
ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.seg3.1	ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.u1	s	slovenski	Nevtralen	nevtralno negativen	1.522	1	26	31	4	
ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.seg4.1	ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.160	1	10	11	2	
ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.seg5.1	ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.u1	s	slovenski	Pozitiven	mešano pozitiven	4.492	1	4	5	0	
ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.seg6.1	ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.029	1	16	20	1	
ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.seg7.1	ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.058	1	13	16	0	
ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.seg7.2	ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.882	1	16	17	1	
ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.seg7.3	ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.684	1	24	28	0	
ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.seg8.1	ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.204	1	9	13	0	
ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.seg8.2	ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.160	1	6	7	0	
ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.seg9.1	ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.326	1	1	2	0	
ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.seg9.2	ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.237	1	12	15	0	
ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.seg11.1	ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.194	1	10	12	0	
ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.seg12.1	ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.231	1	7	10	0	
ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.seg12.2	ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.591	1	20	22	1	
ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.seg13.1	ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.597	1	41	43	3	
ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.seg14.1	ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.001	1	13	14	2	
ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.seg15.1	ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.427	1	1	2	0	
ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.u2	ParlaMint-SI_2019-12-02-SDZ8-Izredna-30	u	slovenski	Negativen	negativen	0.060	22	477	553	5	
ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.seg16.1	ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.u2	s	slovenski	Pozitiven	mešano pozitiven	3.507	1	16	20	2	
ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.seg17.1	ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.u2	s	slovenski	Nevtralen	nevtralno negativen	2.057	1	74	83	1	
ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.seg17.2	ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.u2	s	slovenski	Nevtralen	nevtralno negativen	2.196	1	42	50	0	
