Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth	Topic
ParlaMint-SI_2019-12-02-SDZ8-Izredna-30	ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.u1	Zapisi sej Državnega zbora Republike Slovenije, Izredna 8. mandat, 30. izredna seja (2. 12. 2019)	2019-12-02	Spodnji dom	8. mandat	-	Izredna	-	-	Referenčni	slovenski	Predsedujoči	MP	notMinister	SD	Socialni demokrati	Coalition	Levo sredinska	ŽidanDejan	Židan, Dejan	M	1967	Mešano
ParlaMint-SI_2019-12-02-SDZ8-Izredna-30	ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.u2	Zapisi sej Državnega zbora Republike Slovenije, Izredna 8. mandat, 30. izredna seja (2. 12. 2019)	2019-12-02	Spodnji dom	8. mandat	-	Izredna	-	-	Referenčni	slovenski	Navadni	notMP	notMinister	-	-	-	-	OzimičMilan	Ozimič, Milan	M	-	Makroekonomija
ParlaMint-SI_2019-12-02-SDZ8-Izredna-30	ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.u3	Zapisi sej Državnega zbora Republike Slovenije, Izredna 8. mandat, 30. izredna seja (2. 12. 2019)	2019-12-02	Spodnji dom	8. mandat	-	Izredna	-	-	Referenčni	slovenski	Predsedujoči	MP	notMinister	SD	Socialni demokrati	Coalition	Levo sredinska	ŽidanDejan	Židan, Dejan	M	1967	Ostalo
ParlaMint-SI_2019-12-02-SDZ8-Izredna-30	ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.u4	Zapisi sej Državnega zbora Republike Slovenije, Izredna 8. mandat, 30. izredna seja (2. 12. 2019)	2019-12-02	Spodnji dom	8. mandat	-	Izredna	-	-	Referenčni	slovenski	Navadni	notMP	notMinister	-	-	-	-	OzimičMilan	Ozimič, Milan	M	-	Ostalo
ParlaMint-SI_2019-12-02-SDZ8-Izredna-30	ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.u5	Zapisi sej Državnega zbora Republike Slovenije, Izredna 8. mandat, 30. izredna seja (2. 12. 2019)	2019-12-02	Spodnji dom	8. mandat	-	Izredna	-	-	Referenčni	slovenski	Predsedujoči	MP	notMinister	SD	Socialni demokrati	Coalition	Levo sredinska	ŽidanDejan	Židan, Dejan	M	1967	Makroekonomija
ParlaMint-SI_2019-12-02-SDZ8-Izredna-30	ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.u6	Zapisi sej Državnega zbora Republike Slovenije, Izredna 8. mandat, 30. izredna seja (2. 12. 2019)	2019-12-02	Spodnji dom	8. mandat	-	Izredna	-	-	Referenčni	slovenski	Navadni	MP	notMinister	DeSUS	Demokratična stranka upokojencev Slovenije	Coalition	Sredinska do levo sredinska	PolnarRobert	Polnar, Robert	M	1960	Ostalo
ParlaMint-SI_2019-12-02-SDZ8-Izredna-30	ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.u7	Zapisi sej Državnega zbora Republike Slovenije, Izredna 8. mandat, 30. izredna seja (2. 12. 2019)	2019-12-02	Spodnji dom	8. mandat	-	Izredna	-	-	Referenčni	slovenski	Predsedujoči	MP	notMinister	SD	Socialni demokrati	Coalition	Levo sredinska	ŽidanDejan	Židan, Dejan	M	1967	Ostalo
ParlaMint-SI_2019-12-02-SDZ8-Izredna-30	ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.u8	Zapisi sej Državnega zbora Republike Slovenije, Izredna 8. mandat, 30. izredna seja (2. 12. 2019)	2019-12-02	Spodnji dom	8. mandat	-	Izredna	-	-	Referenčni	slovenski	Navadni	MP	notMinister	DeSUS	Demokratična stranka upokojencev Slovenije	Coalition	Sredinska do levo sredinska	PolnarRobert	Polnar, Robert	M	1960	Makroekonomija
ParlaMint-SI_2019-12-02-SDZ8-Izredna-30	ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.u9	Zapisi sej Državnega zbora Republike Slovenije, Izredna 8. mandat, 30. izredna seja (2. 12. 2019)	2019-12-02	Spodnji dom	8. mandat	-	Izredna	-	-	Referenčni	slovenski	Predsedujoči	MP	notMinister	SD	Socialni demokrati	Coalition	Levo sredinska	ŽidanDejan	Židan, Dejan	M	1967	Ostalo
ParlaMint-SI_2019-12-02-SDZ8-Izredna-30	ParlaMint-SI_2019-12-02-SDZ8-Izredna-30.ana.u10	Zapisi sej Državnega zbora Republike Slovenije, Izredna 8. mandat, 30. izredna seja (2. 12. 2019)	2019-12-02	Spodnji dom	8. mandat	-	Izredna	-	-	Referenčni	slovenski	Navadni	notMP	Minister	-	-	-	-	BertonceljAndrej	Bertoncelj, Andrej	M	1957	Makroekonomija
