Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth	Topic
ParlaMint-SI_2019-12-18-SDZ8-Redna-14	ParlaMint-SI_2019-12-18-SDZ8-Redna-14.ana.u1	Zapisi sej Državnega zbora Republike Slovenije, Redna 8. mandat, 14. redna seja (18. 12. 2019)	2019-12-18	Spodnji dom	8. mandat	-	Redna	-	-	Referenčni	slovenski	Predsedujoči	MP	notMinister	SDS	Slovenska demokratska stranka	Opposition	Desna	TankoJože	Tanko, Jože	M	1956	Transport
ParlaMint-SI_2019-12-18-SDZ8-Redna-14	ParlaMint-SI_2019-12-18-SDZ8-Redna-14.ana.u2	Zapisi sej Državnega zbora Republike Slovenije, Redna 8. mandat, 14. redna seja (18. 12. 2019)	2019-12-18	Spodnji dom	8. mandat	-	Redna	-	-	Referenčni	slovenski	Navadni	notMP	Minister	-	-	-	-	BratušekAlenka	Bratušek, Alenka	F	1970	Transport
ParlaMint-SI_2019-12-18-SDZ8-Redna-14	ParlaMint-SI_2019-12-18-SDZ8-Redna-14.ana.u3	Zapisi sej Državnega zbora Republike Slovenije, Redna 8. mandat, 14. redna seja (18. 12. 2019)	2019-12-18	Spodnji dom	8. mandat	-	Redna	-	-	Referenčni	slovenski	Predsedujoči	MP	notMinister	SDS	Slovenska demokratska stranka	Opposition	Desna	TankoJože	Tanko, Jože	M	1956	Makroekonomija
ParlaMint-SI_2019-12-18-SDZ8-Redna-14	ParlaMint-SI_2019-12-18-SDZ8-Redna-14.ana.u4	Zapisi sej Državnega zbora Republike Slovenije, Redna 8. mandat, 14. redna seja (18. 12. 2019)	2019-12-18	Spodnji dom	8. mandat	-	Redna	-	-	Referenčni	slovenski	Navadni	MP	notMinister	DeSUS	Demokratična stranka upokojencev Slovenije	Coalition	Sredinska do levo sredinska	PolnarRobert	Polnar, Robert	M	1960	Transport
ParlaMint-SI_2019-12-18-SDZ8-Redna-14	ParlaMint-SI_2019-12-18-SDZ8-Redna-14.ana.u5	Zapisi sej Državnega zbora Republike Slovenije, Redna 8. mandat, 14. redna seja (18. 12. 2019)	2019-12-18	Spodnji dom	8. mandat	-	Redna	-	-	Referenčni	slovenski	Predsedujoči	MP	notMinister	SDS	Slovenska demokratska stranka	Opposition	Desna	TankoJože	Tanko, Jože	M	1956	Ostalo
ParlaMint-SI_2019-12-18-SDZ8-Redna-14	ParlaMint-SI_2019-12-18-SDZ8-Redna-14.ana.u6	Zapisi sej Državnega zbora Republike Slovenije, Redna 8. mandat, 14. redna seja (18. 12. 2019)	2019-12-18	Spodnji dom	8. mandat	-	Redna	-	-	Referenčni	slovenski	Navadni	MP	notMinister	SDS	Slovenska demokratska stranka	Opposition	Desna	ČernačZvonko	Černač, Zvonko	M	1962	Transport
ParlaMint-SI_2019-12-18-SDZ8-Redna-14	ParlaMint-SI_2019-12-18-SDZ8-Redna-14.ana.u7	Zapisi sej Državnega zbora Republike Slovenije, Redna 8. mandat, 14. redna seja (18. 12. 2019)	2019-12-18	Spodnji dom	8. mandat	-	Redna	-	-	Referenčni	slovenski	Predsedujoči	MP	notMinister	SDS	Slovenska demokratska stranka	Opposition	Desna	TankoJože	Tanko, Jože	M	1956	Ostalo
ParlaMint-SI_2019-12-18-SDZ8-Redna-14	ParlaMint-SI_2019-12-18-SDZ8-Redna-14.ana.u8	Zapisi sej Državnega zbora Republike Slovenije, Redna 8. mandat, 14. redna seja (18. 12. 2019)	2019-12-18	Spodnji dom	8. mandat	-	Redna	-	-	Referenčni	slovenski	Navadni	MP	notMinister	LMŠ	Lista Marjana Šarca	Coalition	Sredinska do levo sredinska	DivjakMirnikLidija	Divjak Mirnik, Lidija	F	1973	Transport
ParlaMint-SI_2019-12-18-SDZ8-Redna-14	ParlaMint-SI_2019-12-18-SDZ8-Redna-14.ana.u9	Zapisi sej Državnega zbora Republike Slovenije, Redna 8. mandat, 14. redna seja (18. 12. 2019)	2019-12-18	Spodnji dom	8. mandat	-	Redna	-	-	Referenčni	slovenski	Predsedujoči	MP	notMinister	SDS	Slovenska demokratska stranka	Opposition	Desna	TankoJože	Tanko, Jože	M	1956	Ostalo
ParlaMint-SI_2019-12-18-SDZ8-Redna-14	ParlaMint-SI_2019-12-18-SDZ8-Redna-14.ana.u10	Zapisi sej Državnega zbora Republike Slovenije, Redna 8. mandat, 14. redna seja (18. 12. 2019)	2019-12-18	Spodnji dom	8. mandat	-	Redna	-	-	Referenčni	slovenski	Navadni	MP	notMinister	SDS	Slovenska demokratska stranka	Opposition	Desna	RosecFranc	Rosec, Franc	M	1967	Transport
ParlaMint-SI_2019-12-18-SDZ8-Redna-14	ParlaMint-SI_2019-12-18-SDZ8-Redna-14.ana.u11	Zapisi sej Državnega zbora Republike Slovenije, Redna 8. mandat, 14. redna seja (18. 12. 2019)	2019-12-18	Spodnji dom	8. mandat	-	Redna	-	-	Referenčni	slovenski	Predsedujoči	MP	notMinister	SDS	Slovenska demokratska stranka	Opposition	Desna	TankoJože	Tanko, Jože	M	1956	Ostalo
ParlaMint-SI_2019-12-18-SDZ8-Redna-14	ParlaMint-SI_2019-12-18-SDZ8-Redna-14.ana.u12	Zapisi sej Državnega zbora Republike Slovenije, Redna 8. mandat, 14. redna seja (18. 12. 2019)	2019-12-18	Spodnji dom	8. mandat	-	Redna	-	-	Referenčni	slovenski	Navadni	notMP	Minister	-	-	-	-	BratušekAlenka	Bratušek, Alenka	F	1970	Transport
ParlaMint-SI_2019-12-18-SDZ8-Redna-14	ParlaMint-SI_2019-12-18-SDZ8-Redna-14.ana.u13	Zapisi sej Državnega zbora Republike Slovenije, Redna 8. mandat, 14. redna seja (18. 12. 2019)	2019-12-18	Spodnji dom	8. mandat	-	Redna	-	-	Referenčni	slovenski	Predsedujoči	MP	notMinister	LMŠ	Lista Marjana Šarca	Coalition	Sredinska do levo sredinska	HeferleTina	Heferle, Tina	F	1986	Ostalo
ParlaMint-SI_2019-12-18-SDZ8-Redna-14	ParlaMint-SI_2019-12-18-SDZ8-Redna-14.ana.u14	Zapisi sej Državnega zbora Republike Slovenije, Redna 8. mandat, 14. redna seja (18. 12. 2019)	2019-12-18	Spodnji dom	8. mandat	-	Redna	-	-	Referenčni	slovenski	Navadni	MP	notMinister	SDS	Slovenska demokratska stranka	Opposition	Desna	ČernačZvonko	Černač, Zvonko	M	1962	Transport
ParlaMint-SI_2019-12-18-SDZ8-Redna-14	ParlaMint-SI_2019-12-18-SDZ8-Redna-14.ana.u15	Zapisi sej Državnega zbora Republike Slovenije, Redna 8. mandat, 14. redna seja (18. 12. 2019)	2019-12-18	Spodnji dom	8. mandat	-	Redna	-	-	Referenčni	slovenski	Predsedujoči	MP	notMinister	LMŠ	Lista Marjana Šarca	Coalition	Sredinska do levo sredinska	HeferleTina	Heferle, Tina	F	1986	Ostalo
ParlaMint-SI_2019-12-18-SDZ8-Redna-14	ParlaMint-SI_2019-12-18-SDZ8-Redna-14.ana.u16	Zapisi sej Državnega zbora Republike Slovenije, Redna 8. mandat, 14. redna seja (18. 12. 2019)	2019-12-18	Spodnji dom	8. mandat	-	Redna	-	-	Referenčni	slovenski	Navadni	MP	notMinister	NSi	Nova Slovenija – Krščanski demokrati	Opposition	Desno sredinska	ReberšekAleksander	Reberšek, Aleksander	M	1980	Transport
