ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16	u	Slovenian	Neutral	neutral negative	2.270	9	132	158	20	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg1.1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u1	s	Slovenian	Positive	mixed positive	4.052	1	9	11	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg1.2	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u1	s	Slovenian	Neutral	neutral positive	3.286	1	7	8	1	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg2.1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u1	s	Slovenian	Neutral	neutral negative	1.647	1	56	71	14	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg3.1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u1	s	Slovenian	Positive	positive	4.814	1	4	5	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg4.1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u1	s	Slovenian	Neutral	neutral positive	3.105	1	3	4	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg4.2	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u1	s	Slovenian	Neutral	neutral positive	2.504	1	22	24	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg5.1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u1	s	Slovenian	Neutral	neutral positive	3.093	1	9	10	2	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg5.2	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u1	s	Slovenian	Neutral	neutral positive	2.977	1	21	23	3	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg6.1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u1	s	Slovenian	Neutral	neutral positive	3.427	1	1	2	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u2	ParlaMint-SI_2020-03-04-SDZ8-Redna-16	u	Slovenian	Positive	mixed positive	3.610	18	471	534	12	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg7.1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u2	s	Slovenian	Neutral	neutral positive	3.485	1	8	11	0	
