ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16	u	slovenski	Nevtralen	nevtralno negativen	2.270	9	132	158	20	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg1.1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u1	s	slovenski	Pozitiven	mešano pozitiven	4.052	1	9	11	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg1.2	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.286	1	7	8	1	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg2.1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u1	s	slovenski	Nevtralen	nevtralno negativen	1.647	1	56	71	14	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg3.1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u1	s	slovenski	Pozitiven	pozitiven	4.814	1	4	5	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg4.1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.105	1	3	4	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg4.2	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.504	1	22	24	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg5.1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.093	1	9	10	2	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg5.2	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	2.977	1	21	23	3	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg6.1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u1	s	slovenski	Nevtralen	nevtralno pozitiven	3.427	1	1	2	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u2	ParlaMint-SI_2020-03-04-SDZ8-Redna-16	u	slovenski	Pozitiven	mešano pozitiven	3.610	18	471	534	12	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg7.1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u2	s	slovenski	Nevtralen	nevtralno pozitiven	3.485	1	8	11	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg7.2	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u2	s	slovenski	Pozitiven	mešano pozitiven	3.914	1	4	5	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg8.1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u2	s	slovenski	Nevtralen	nevtralno pozitiven	2.851	1	40	42	3	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg8.2	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u2	s	slovenski	Nevtralen	nevtralno pozitiven	3.109	1	34	37	2	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg8.3	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u2	s	slovenski	Pozitiven	mešano pozitiven	3.729	1	44	48	3	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg9.1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u2	s	slovenski	Nevtralen	nevtralno pozitiven	3.263	1	64	76	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg9.2	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u2	s	slovenski	Nevtralen	nevtralno pozitiven	2.679	1	42	44	1	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg9.3	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u2	s	slovenski	Nevtralen	nevtralno pozitiven	2.943	1	37	43	1	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg9.4	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u2	s	slovenski	Nevtralen	nevtralno pozitiven	3.066	1	18	20	1	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg10.1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u2	s	slovenski	Nevtralen	nevtralno pozitiven	3.091	1	13	15	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg10.2	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u2	s	slovenski	Nevtralen	nevtralno negativen	1.937	1	17	20	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg10.3	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u2	s	slovenski	Nevtralen	nevtralno pozitiven	2.542	1	41	43	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg10.4	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u2	s	slovenski	Pozitiven	mešano pozitiven	3.731	1	15	18	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg10.5	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u2	s	slovenski	Negativen	negativen	0.346	1	36	42	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg10.6	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u2	s	slovenski	Nevtralen	nevtralno pozitiven	3.135	1	20	23	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg10.7	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u2	s	slovenski	Nevtralen	nevtralno pozitiven	3.005	1	23	26	1	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg11.1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u2	s	slovenski	Pozitiven	pozitiven	4.670	1	13	18	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg11.2	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u2	s	slovenski	Pozitiven	mešano pozitiven	4.085	1	2	3	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u3	ParlaMint-SI_2020-03-04-SDZ8-Redna-16	u	slovenski	Nevtralen	nevtralno pozitiven	3.000	4	23	27	2	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg12.1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u3	s	slovenski	Pozitiven	mešano pozitiven	4.085	1	2	3	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg13.1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u3	s	slovenski	Nevtralen	nevtralno pozitiven	2.916	1	11	12	1	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg13.2	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u3	s	slovenski	Nevtralen	nevtralno pozitiven	3.205	1	9	10	1	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg14.1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u3	s	slovenski	Pozitiven	mešano pozitiven	3.705	1	1	2	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u4	ParlaMint-SI_2020-03-04-SDZ8-Redna-16	u	slovenski	Negativen	mešano negativen	1.340	15	399	470	35	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg15.1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u4	s	slovenski	Pozitiven	mešano pozitiven	4.150	1	3	5	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg15.2	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u4	s	slovenski	Pozitiven	mešano pozitiven	4.026	1	8	11	1	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg16.1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u4	s	slovenski	Nevtralen	nevtralno pozitiven	2.669	1	40	43	5	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg16.2	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u4	s	slovenski	Nevtralen	nevtralno pozitiven	3.023	1	21	23	1	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg16.3	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u4	s	slovenski	Nevtralen	nevtralno pozitiven	2.551	1	28	33	3	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg16.4	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u4	s	slovenski	Nevtralen	nevtralno negativen	2.486	1	63	86	10	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg17.1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u4	s	slovenski	Nevtralen	nevtralno pozitiven	3.190	1	22	26	2	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg17.2	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u4	s	slovenski	Nevtralen	nevtralno pozitiven	2.940	1	15	18	2	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg17.3	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u4	s	slovenski	Nevtralen	nevtralno pozitiven	2.802	1	18	20	1	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg17.4	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u4	s	slovenski	Nevtralen	nevtralno negativen	1.713	1	51	58	1	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg17.5	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u4	s	slovenski	Pozitiven	mešano pozitiven	3.563	1	24	28	1	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg17.6	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u4	s	slovenski	Negativen	mešano negativen	0.955	1	25	27	2	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg17.7	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u4	s	slovenski	Nevtralen	nevtralno pozitiven	2.789	1	14	16	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg18.1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u4	s	slovenski	Nevtralen	nevtralno pozitiven	2.844	1	55	62	6	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg18.2	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u4	s	slovenski	Pozitiven	mešano pozitiven	3.704	1	12	14	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u5	ParlaMint-SI_2020-03-04-SDZ8-Redna-16	u	slovenski	Nevtralen	nevtralno pozitiven	3.000	4	20	24	2	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg19.1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u5	s	slovenski	Pozitiven	mešano pozitiven	4.085	1	2	3	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg20.1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u5	s	slovenski	Nevtralen	nevtralno pozitiven	3.194	1	6	7	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg21.1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u5	s	slovenski	Nevtralen	nevtralno pozitiven	3.055	1	11	12	2	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg22.1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u5	s	slovenski	Pozitiven	mešano pozitiven	3.705	1	1	2	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u6	ParlaMint-SI_2020-03-04-SDZ8-Redna-16	u	slovenski	Pozitiven	mešano pozitiven	4.200	24	393	458	7	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg23.1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u6	s	slovenski	Pozitiven	mešano pozitiven	3.529	1	7	9	1	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg23.2	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u6	s	slovenski	Pozitiven	mešano pozitiven	3.952	1	4	6	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg24.1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u6	s	slovenski	Nevtralen	nevtralno pozitiven	3.229	1	10	11	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg24.2	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u6	s	slovenski	Nevtralen	nevtralno pozitiven	2.857	1	15	17	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg24.3	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u6	s	slovenski	Nevtralen	nevtralno pozitiven	2.695	1	19	22	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg24.4	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u6	s	slovenski	Nevtralen	nevtralno pozitiven	3.092	1	15	18	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg24.5	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u6	s	slovenski	Pozitiven	mešano pozitiven	3.525	1	13	16	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg24.6	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u6	s	slovenski	Nevtralen	nevtralno pozitiven	3.148	1	27	32	1	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg24.7	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u6	s	slovenski	Nevtralen	nevtralno pozitiven	3.230	1	35	39	1	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg25.1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u6	s	slovenski	Nevtralen	nevtralno pozitiven	2.976	1	12	16	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg25.2	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u6	s	slovenski	Nevtralen	nevtralno pozitiven	3.259	1	12	13	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg25.3	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u6	s	slovenski	Nevtralen	nevtralno pozitiven	2.802	1	16	19	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg25.4	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u6	s	slovenski	Pozitiven	mešano pozitiven	3.543	1	9	10	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg25.5	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u6	s	slovenski	Nevtralen	nevtralno pozitiven	2.677	1	23	30	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg25.6	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u6	s	slovenski	Nevtralen	nevtralno pozitiven	3.457	1	24	29	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg25.7	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u6	s	slovenski	Pozitiven	mešano pozitiven	4.045	1	8	9	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg25.8	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u6	s	slovenski	Pozitiven	mešano pozitiven	3.708	1	11	12	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg25.9	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u6	s	slovenski	Nevtralen	nevtralno pozitiven	3.420	1	21	24	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg25.10	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u6	s	slovenski	Nevtralen	nevtralno pozitiven	2.621	1	14	16	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg25.11	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u6	s	slovenski	Pozitiven	mešano pozitiven	3.516	1	13	15	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg26.1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u6	s	slovenski	Nevtralen	nevtralno pozitiven	3.111	1	40	45	1	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg26.2	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u6	s	slovenski	Pozitiven	pozitiven	4.585	1	30	33	1	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg27.1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u6	s	slovenski	Pozitiven	mešano pozitiven	4.485	1	13	14	2	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg27.2	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u6	s	slovenski	Pozitiven	mešano pozitiven	4.085	1	2	3	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u7	ParlaMint-SI_2020-03-04-SDZ8-Redna-16	u	slovenski	Nevtralen	nevtralno pozitiven	3.000	3	13	16	2	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg28.1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u7	s	slovenski	Pozitiven	mešano pozitiven	4.085	1	2	3	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg29.1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u7	s	slovenski	Nevtralen	nevtralno pozitiven	2.990	1	10	11	2	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.seg30.1	ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u7	s	slovenski	Pozitiven	mešano pozitiven	3.705	1	1	2	0	
ParlaMint-SI_2020-03-04-SDZ8-Redna-16.ana.u8	ParlaMint-SI_2020-03-04-SDZ8-Redna-16	u	slovenski	Negativen	negativen	0.080	27	386	458	14	
