ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-SI_2020-04-28-SDZ8-Izredna-35.ana.u1	ParlaMint-SI_2020-04-28-SDZ8-Izredna-35	u	Slovenian	Neutral	neutral positive	2.650	13	133	155	9	
ParlaMint-SI_2020-04-28-SDZ8-Izredna-35.ana.seg1.1	ParlaMint-SI_2020-04-28-SDZ8-Izredna-35.ana.u1	s	Slovenian	Positive	mixed positive	3.980	1	8	11	0	
ParlaMint-SI_2020-04-28-SDZ8-Izredna-35.ana.seg2.1	ParlaMint-SI_2020-04-28-SDZ8-Izredna-35.ana.u1	s	Slovenian	Neutral	neutral positive	3.259	1	6	7	1	
ParlaMint-SI_2020-04-28-SDZ8-Izredna-35.ana.seg3.1	ParlaMint-SI_2020-04-28-SDZ8-Izredna-35.ana.u1	s	Slovenian	Neutral	neutral negative	1.757	1	14	16	1	
ParlaMint-SI_2020-04-28-SDZ8-Izredna-35.ana.seg4.1	ParlaMint-SI_2020-04-28-SDZ8-Izredna-35.ana.u1	s	Slovenian	Neutral	neutral positive	2.711	1	25	28	4	
ParlaMint-SI_2020-04-28-SDZ8-Izredna-35.ana.seg5.1	ParlaMint-SI_2020-04-28-SDZ8-Izredna-35.ana.u1	s	Slovenian	Positive	positive	4.814	1	4	5	0	
ParlaMint-SI_2020-04-28-SDZ8-Izredna-35.ana.seg6.1	ParlaMint-SI_2020-04-28-SDZ8-Izredna-35.ana.u1	s	Slovenian	Neutral	neutral positive	3.111	1	10	11	1	
ParlaMint-SI_2020-04-28-SDZ8-Izredna-35.ana.seg6.2	ParlaMint-SI_2020-04-28-SDZ8-Izredna-35.ana.u1	s	Slovenian	Neutral	neutral positive	3.036	1	13	16	0	
ParlaMint-SI_2020-04-28-SDZ8-Izredna-35.ana.seg6.3	ParlaMint-SI_2020-04-28-SDZ8-Izredna-35.ana.u1	s	Slovenian	Neutral	neutral positive	2.882	1	16	17	1	
ParlaMint-SI_2020-04-28-SDZ8-Izredna-35.ana.seg6.4	ParlaMint-SI_2020-04-28-SDZ8-Izredna-35.ana.u1	s	Slovenian	Neutral	neutral positive	2.591	1	14	15	0	
ParlaMint-SI_2020-04-28-SDZ8-Izredna-35.ana.seg6.5	ParlaMint-SI_2020-04-28-SDZ8-Izredna-35.ana.u1	s	Slovenian	Neutral	neutral positive	3.021	1	15	18	0	
ParlaMint-SI_2020-04-28-SDZ8-Izredna-35.ana.seg7.1	ParlaMint-SI_2020-04-28-SDZ8-Izredna-35.ana.u1	s	Slovenian	Positive	mixed positive	3.769	1	3	3	0	
ParlaMint-SI_2020-04-28-SDZ8-Izredna-35.ana.seg8.1	ParlaMint-SI_2020-04-28-SDZ8-Izredna-35.ana.u1	s	Slovenian	Neutral	neutral positive	3.376	1	4	6	1	
ParlaMint-SI_2020-04-28-SDZ8-Izredna-35.ana.seg9.1	ParlaMint-SI_2020-04-28-SDZ8-Izredna-35.ana.u1	s	Slovenian	Neutral	neutral positive	3.427	1	1	2	0	
ParlaMint-SI_2020-04-28-SDZ8-Izredna-35.ana.u2	ParlaMint-SI_2020-04-28-SDZ8-Izredna-35	u	Slovenian	Negative	negative	0.000	9	211	245	11	
ParlaMint-SI_2020-04-28-SDZ8-Izredna-35.ana.seg10.1	ParlaMint-SI_2020-04-28-SDZ8-Izredna-35.ana.u2	s	Slovenian	Positive	mixed positive	3.920	1	2	3	0	
ParlaMint-SI_2020-04-28-SDZ8-Izredna-35.ana.seg10.2	ParlaMint-SI_2020-04-28-SDZ8-Izredna-35.ana.u2	s	Slovenian	Negative	mixed negative	1.039	1	42	47	2	
ParlaMint-SI_2020-04-28-SDZ8-Izredna-35.ana.seg10.3	ParlaMint-SI_2020-04-28-SDZ8-Izredna-35.ana.u2	s	Slovenian	Negative	negative	0.248	1	13	15	0	
