Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth	Topic
ParlaMint-SI_2020-04-29-SDZ8-Izredna-35	ParlaMint-SI_2020-04-29-SDZ8-Izredna-35.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 35, (29. 04. 2020)	2020-04-29	Lower house	8. mandat	-	Izredna	-	-	COVID	Slovenian	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	ZorčičIgor	Zorčič, Igor	M	1978	Housing
ParlaMint-SI_2020-04-29-SDZ8-Izredna-35	ParlaMint-SI_2020-04-29-SDZ8-Izredna-35.u2	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 35, (29. 04. 2020)	2020-04-29	Lower house	8. mandat	-	Izredna	-	-	COVID	Slovenian	Regular	notMP	notMinister	-	-	-	-	KovšcaAlojz	Kovšca, Alojz	M	-	Housing
ParlaMint-SI_2020-04-29-SDZ8-Izredna-35	ParlaMint-SI_2020-04-29-SDZ8-Izredna-35.u3	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 35, (29. 04. 2020)	2020-04-29	Lower house	8. mandat	-	Izredna	-	-	COVID	Slovenian	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	ZorčičIgor	Zorčič, Igor	M	1978	Mix
ParlaMint-SI_2020-04-29-SDZ8-Izredna-35	ParlaMint-SI_2020-04-29-SDZ8-Izredna-35.u4	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 35, (29. 04. 2020)	2020-04-29	Lower house	8. mandat	-	Izredna	-	-	COVID	Slovenian	Regular	MP	notMinister	LMŠ	The List of Marjan Šarec	Opposition	Centre to centre-left	PauličEdvard	Paulič, Edvard	M	1968	Housing
ParlaMint-SI_2020-04-29-SDZ8-Izredna-35	ParlaMint-SI_2020-04-29-SDZ8-Izredna-35.u5	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 35, (29. 04. 2020)	2020-04-29	Lower house	8. mandat	-	Izredna	-	-	COVID	Slovenian	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	ZorčičIgor	Zorčič, Igor	M	1978	Environment
ParlaMint-SI_2020-04-29-SDZ8-Izredna-35	ParlaMint-SI_2020-04-29-SDZ8-Izredna-35.u6	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 35, (29. 04. 2020)	2020-04-29	Lower house	8. mandat	-	Izredna	-	-	COVID	Slovenian	Regular	notMP	Minister	-	-	-	-	VizjakAndrej	Vizjak, Andrej	M	1964	Housing
ParlaMint-SI_2020-04-29-SDZ8-Izredna-35	ParlaMint-SI_2020-04-29-SDZ8-Izredna-35.u7	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 35, (29. 04. 2020)	2020-04-29	Lower house	8. mandat	-	Izredna	-	-	COVID	Slovenian	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	ZorčičIgor	Zorčič, Igor	M	1978	Other
ParlaMint-SI_2020-04-29-SDZ8-Izredna-35	ParlaMint-SI_2020-04-29-SDZ8-Izredna-35.u8	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 35, (29. 04. 2020)	2020-04-29	Lower house	8. mandat	-	Izredna	-	-	COVID	Slovenian	Regular	MP	notMinister	SDS	Slovenian Democratic Party	Coalition	Right	PodkrajšekBojan	Podkrajšek, Bojan	M	1968	Housing
ParlaMint-SI_2020-04-29-SDZ8-Izredna-35	ParlaMint-SI_2020-04-29-SDZ8-Izredna-35.u9	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 35, (29. 04. 2020)	2020-04-29	Lower house	8. mandat	-	Izredna	-	-	COVID	Slovenian	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	ZorčičIgor	Zorčič, Igor	M	1978	Other
ParlaMint-SI_2020-04-29-SDZ8-Izredna-35	ParlaMint-SI_2020-04-29-SDZ8-Izredna-35.u10	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 35, (29. 04. 2020)	2020-04-29	Lower house	8. mandat	-	Izredna	-	-	COVID	Slovenian	Regular	MP	notMinister	LMŠ	The List of Marjan Šarec	Opposition	Centre to centre-left	DivjakMirnikLidija	Divjak Mirnik, Lidija	F	1973	Housing
